Semestre ,TipoDeVinculacion,NivelDeFormacion,NumeroDeDocentes
2014-1,Planta,Doctorado,7
2014-1,Planta,Especialización,2
2014-1,Planta,Maestría,20
2014-1,Planta,Profesional,3
2014-1,Transitorio,Doctorado,1
2014-1,Transitorio,Especialización,7
2014-1,Transitorio,Maestría,8
2014-1,Transitorio,Profesional,4
2014-2,Cátedra,Especialización,23
2014-2,Cátedra,Maestría,22
2014-2,Cátedra,Profesional,48
2014-2,Planta,Doctorado,8
2014-2,Planta,Especialización,2
2014-2,Planta,Maestría,19
2014-2,Planta,Profesional,3
2014-2,Transitorio,Doctorado,1
2014-2,Transitorio,Especialización,6
2014-2,Transitorio,Maestría,9
2014-2,Transitorio,Profesional,4
2013-1,Cátedra,Especialización,14
2013-1,Cátedra,Maestría,10
2013-1,Cátedra,Profesional,60
2013-1,Planta,Doctorado,5
2013-1,Planta,Especialización,3
2013-1,Planta,Maestría,17
2013-1,Planta,Profesional,3
2013-1,Transitorio,Doctorado,1
2013-1,Transitorio,Especialización,6
2013-1,Transitorio,Profesional,7
2013-2,Cátedra,Especialización,18
2013-2,Cátedra,Maestría,19
2013-2,Cátedra,Profesional,55
2013-2,Planta,Doctorado,6
2013-2,Planta,Especialización,2
2013-2,Planta,Maestría,21
2013-2,Planta,Profesional,3
2013-2,Transitorio,Doctorado,1
2013-2,Transitorio,Especialización,8
2013-2,Transitorio,Profesional,5
2012-1,Cátedra,Especialización,18
2012-1,Cátedra,Maestría,9
2012-1,Cátedra,Profesional,47
2012-1,Planta,Doctorado,5
2012-1,Planta,Especialización,3
2012-1,Planta,Maestría,17
2012-1,Planta,Profesional,3
2012-1,Transitorio,Doctorado,1
2012-1,Transitorio,Especialización,4
2012-1,Transitorio,Maestría,9
2012-1,Transitorio,Profesional,9
2012-2,Cátedra,Especialización,19
2012-2,Cátedra,Maestría,14
2012-2,Cátedra,Profesional,57
2012-2,Planta,Doctorado,5
2012-2,Planta,Especialización,3
2012-2,Planta,Maestría,17
2012-2,Planta,Profesional,3
2012-2,Transitorio,Doctorado,1
2012-2,Transitorio,Especialización,7
2012-2,Transitorio,Maestría,9
2012-2,Transitorio,Profesional,6
2011-1,Cátedra,Especialización,14
2011-1,Cátedra,Maestría,15
2011-1,Cátedra,Profesional,54
2011-1,Planta,Doctorado,4
2011-1,Planta,Especialización,3
2011-1,Planta,Maestría,18
2011-1,Planta,Profesional,3
2011-1,Transitorio,Doctorado,1
2011-1,Transitorio,Especialización,4
2011-1,Transitorio,Maestría,7
2011-1,Transitorio,Profesional,12
2011-2,Cátedra,Especialización,15
2011-2,Cátedra,Maestría,14
2011-2,Cátedra,Profesional,59
2011-2,Planta,Doctorado,4
2011-2,Planta,Especialización,3
2011-2,Planta,Maestría,18
2011-2,Planta,Profesional,3
2011-2,Transitorio,Doctorado,1
2011-2,Transitorio,Especialización,4
2011-2,Transitorio,Maestría,10
2011-2,Transitorio,Profesional,9
2010-1,Cátedra,Especialización,14
2010-1,Cátedra,Maestría,8
2010-1,Cátedra,Profesional,37
2010-1,Planta,Doctorado,3
2010-1,Planta,Especialización,3
2010-1,Planta,Maestría,18
2010-1,Planta,Profesional,3
2010-1,Transitorio,Especialización,3
2010-1,Transitorio,Maestría,6
2010-1,Transitorio,Profesional,10
2010-2,Cátedra,Especialización,19
2010-2,Cátedra,Maestría,13
2010-2,Cátedra,Profesional,64
2010-2,Planta,Doctorado,4
2010-2,Planta,Especialización,3
2010-2,Planta,Maestría,17
2010-2,Planta,Profesional,3
2010-2,Transitorio,Especialización,3
2010-2,Transitorio,Maestría,6
2010-2,Transitorio,Profesional,8
