Nivel,ProgramaAcademico,Estado,EstadoRegistroCalificado,ResolucionRegistroCalificado,Año
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2016
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2016
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2016
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2016
Posgrado,Especialización en Redes de Datos,No ofrecido,Activo,7437 DEL 14-JUN-2013,2016
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,08435 DEL 28-ABR-2016,2016
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2016
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2015
Pregrado,Ingeniería Electrónica (Nocturno),Ofrecido,Activo,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",2015
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2015
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2015
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2015
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2015
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2015
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,7520 DEL 16-OCT-2009,2015
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2015
Pregrado,Ingeniería de Sistemas y Computación,Ofrecido,Activo,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",2014
Pregrado,Ingeniería Electrónica (Nocturno),Ofrecido,Activo,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",2014
Pregrado,Ingeniería Eléctrica,Ofrecido,Activo,11109 DEL 11-SEP-2012,2014
Pregrado,Ingeniería Física,Ofrecido,Activo,5733 DEL 13-JUL-2011,2014
Posgrado,Doctorado en Ingeniería,Ofrecido,Activo,11169 DEL 20-DIC-2010,2014
Posgrado,Especialización en Electrónica Digital,No ofrecido,Activo,7436 DEL 14-JUN-2013,2014
Posgrado,Especialización en Redes de Datos,Ofrecido,Activo,7437 DEL 14-JUN-2013,2014
Posgrado,Maestría en Ingeniería de Sistemas y Computación,Ofrecido,Activo,7520 DEL 16-OCT-2009,2014
Posgrado,Maestría en Ingeniería Eléctrica,Ofrecido,Activo,5348 DEL 10-MAY-2013,2014
