ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS,CANTIDAD
3. Cambio de programa,30,2020-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,202 a 211,7
1. No matriculado,3,2007-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,071 a 072,49
3. Cambio de programa,3,2007-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,071 a 072,13
2. Permanece programa,4,2007-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,072 a 081,519
4. Graduado,9,2010-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,101 a 102,9
3. Cambio de programa,12,2011-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,112 a 121,12
4. Graduado,12,2011-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,112 a 121,20
4. Graduado,12,2011-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,112 a 121,32
3. Cambio de programa,13,2012-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,121 a 122,13
2. Permanece programa,17,2014-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,141 a 142,200
2. Permanece programa,19,2015-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,151 a 152,219
1. No matriculado,19,2015-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,151 a 152,7
2. Permanece programa,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 162,273
2. Permanece programa,21,2016-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,161 a 162,29
3. Cambio de programa,21,2016-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,161 a 162,15
1. No matriculado,22,2016-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,162 a 171,9
2. Permanece programa,25,2018-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,181 a 182,50
3. Cambio de programa,27,2019-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,191 a 192,11
2. Permanece programa,28,2019-2,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,192 a 201,5
3. Cambio de programa,29,2020-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,201 a 202,3
1. No matriculado,29,2020-1,28C,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Convenio Cuba),10,201 a 202,1
3. Cambio de programa,1,2006-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,061 a 062,4
2. Permanece programa,2,2006-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,062 a 071,149
2. Permanece programa,6,2008-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,082 a 091,162
3. Cambio de programa,8,2009-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,092 a 101,6
4. Graduado,9,2010-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,101 a 102,55
3. Cambio de programa,9,2010-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,101 a 102,10
3. Cambio de programa,12,2011-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,112 a 121,5
4. Graduado,15,2013-1,AT,Posgrado,Especialización,Ingeniería,Especialización en Electrónica Digital,2,131 a 132,5
4. Graduado,15,2013-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,131 a 132,22
1. No matriculado,16,2013-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,132 a 141,10
3. Cambio de programa,16,2013-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,132 a 141,1
4. Graduado,17,2014-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,141 a 142,5
2. Permanece programa,18,2014-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,142 a 151,863
