Programa,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Semestre
Ingeniería de Sistemas y Computación (Nocturno),1,41,108,77,44,5,2,2017-2
Ingeniería Electrónica (Diurna),,30,45,30,12,3,1,2018-1
Ingeniería Electrónica (Nocturno),,12,56,34,35,1,2,2018-1
Ingeniería Eléctrica,1,300,431,210,43,10,4,2018-1
Ingeniería Eléctrica (Básicos ingeniería),,7,11,,,,,2018-1
Ingeniería Física,,100,166,82,8,3,1,2018-1
Ingeniería Física (Básicos ingenieria),,5,7,1,1,,,2018-1
Ingeniería de Sistemas y Computación,,177,353,156,55,11,7,2018-1
Ingeniería de Sistemas y Computación (Básicos ingeniería),,9,13,1,,,1,2018-1
Ingeniería de Sistemas y Computación (Convenio Cuba),,11,18,6,4,1,,2018-1
Ingeniería de Sistemas y Computación (Nocturno),,41,105,81,40,7,3,2018-1
Ingeniería Electrónica (Diurna),,31,47,30,11,5,1,2018-2
Ingeniería Electrónica (Nocturno),,8,48,31,30,1,2,2018-2
Ingeniería Eléctrica,1,299,424,192,43,10,1,2018-2
Ingeniería Eléctrica (Básicos ingeniería),,7,11,,,,,2018-2
Ingeniería Física,,94,159,80,13,3,2,2018-2
Ingeniería Física (Básicos ingenieria),,5,6,1,1,,,2018-2
Ingeniería de Sistemas y Computación,,174,354,158,47,13,7,2018-2
Ingeniería de Sistemas y Computación (Básicos ingeniería),,8,12,1,,,1,2018-2
Ingeniería de Sistemas y Computación (Convenio Cuba),,11,15,6,4,1,,2018-2
Ingeniería de Sistemas y Computación (Nocturno),,37,81,70,36,5,2,2018-2
Ingeniería Electrónica (Diurna),,54,70,34,13,6,1,2019-1
Ingeniería Electrónica (Nocturno),,10,43,22,23,,2,2019-1
Ingeniería Eléctrica,1,295,428,184,41,12,1,2019-1
Ingeniería Física,,104,160,66,12,2,3,2019-1
Ingeniería de Sistemas y Computación,,173,355,151,52,15,5,2019-1
Ingeniería de Sistemas y Computación (Convenio Cuba),,11,17,5,3,1,,2019-1
Ingeniería de Sistemas y Computación (Nocturno),,50,111,83,33,7,1,2019-1
Tecnología en Desarrollo de Software,,11,14,6,1,,,2019-1
Ingeniería Electrónica (Diurna),,47,71,29,16,7,2,2019-2
Ingeniería Electrónica (Nocturno),,7,37,19,23,1,1,2019-2
Ingeniería Eléctrica,1,303,410,166,38,11,1,2019-2
Ingeniería Física,,104,160,65,14,2,3,2019-2
Ingeniería de Sistemas y Computación,,184,339,147,52,15,5,2019-2
Ingeniería de Sistemas y Computación (Convenio Cuba),,10,15,5,3,1,,2019-2
Ingeniería de Sistemas y Computación (Nocturno),,51,112,71,39,6,1,2019-2
Tecnología en Desarrollo de Software,,8,10,5,,,,2019-2
Ingeniería Electrónica (Diurna),,61,88,47,19,8,2,2020-1
Ingeniería Electrónica (Nocturno),,7,31,15,20,1,1,2020-1
Ingeniería Eléctrica,1,308,416,167,32,10,1,2020-1
Ingeniería Física,,109,164,64,17,2,3,2020-1
Ingeniería de Sistemas y Computación,,192,345,157,58,12,6,2020-1
Ingeniería de Sistemas y Computación (Convenio Cuba),,10,13,4,3,1,,2020-1
Ingeniería de Sistemas y Computación (Nocturno),,61,126,77,48,4,2,2020-1
Tecnología en Desarrollo de Software,,11,23,15,1,,,2020-1
Ingeniería Electrónica (Diurna),,72,96,51,17,8,2,2020-2
Ingeniería Electrónica (Nocturno),,6,25,10,13,1,1,2020-2
Ingeniería Eléctrica,1,353,435,160,38,11,1,2020-2
Ingeniería Física,,112,165,70,20,2,3,2020-2
Ingeniería de Sistemas y Computación,,209,358,170,53,16,7,2020-2
Ingeniería de Sistemas y Computación (Convenio Cuba),,10,13,4,3,1,,2020-2
Ingeniería de Sistemas y Computación (Nocturno),,76,142,77,41,6,3,2020-2
Tecnología en Desarrollo de Software,,9,17,14,,,,2020-2
Ingeniería Electrónica (Diurna),,92,111,54,21,9,2,2021-1
Ingeniería Electrónica (Nocturno),,4,21,10,10,1,1,2021-1
Ingeniería Eléctrica,1,347,415,144,32,9,1,2021-1
Ingeniería Física,,103,157,67,15,3,2,2021-1
Ingeniería de Sistemas y Computación,,199,354,167,56,16,7,2021-1
Ingeniería de Sistemas y Computación (Convenio Cuba),,10,13,3,3,1,,2021-1
Ingeniería de Sistemas y Computación (Nocturno),,78,148,70,32,3,2,2021-1
Tecnología en Desarrollo de Software,,6,11,11,,,,2021-1
Ingeniería Electrónica (Diurna),1,91,115,60,20,9,3,2021-2
Ingeniería Electrónica (Nocturno),,4,20,6,5,,,2021-2
Ingeniería Eléctrica,,349,424,141,32,9,1,2021-2
Ingeniería Física,,98,156,65,18,2,2,2021-2
Ingeniería de Sistemas y Computación,,202,373,178,51,16,7,2021-2
Ingeniería de Sistemas y Computación (Nocturno),,89,168,84,34,5,2,2021-2
Tecnología en Desarrollo de Software,,18,28,16,2,,,
