CANTIDAD,COD_PERIODO,IDPER,COD_UTP,ESTADO,FACULTAD
28,2018-2,5,12,NO MATRICULADO,Ingeniería
38,2014-1,7,37,NO MATRICULADO,Ingeniería
69,2017-2,1,12,MATRICULADO,Ingeniería
33,2006-2,21,36,NO MATRICULADO,Ingeniería
11,2017-2,2,FI,NO MATRICULADO,Ingeniería
63,2008-1,19,34,NO MATRICULADO,Ingeniería
36,2016-2,1,37,MATRICULADO,Ingeniería
26,2016-1,6,12,NO MATRICULADO,Ingeniería
46,2007-1,22,36,NO MATRICULADO,Ingeniería
40,2017-2,0,34,MATRICULADO,Ingeniería
18,2013-1,12,28,GRADUADO,Ingeniería
37,2010-1,17,28,NO MATRICULADO,Ingeniería
49,2012-2,13,37,NO MATRICULADO,Ingeniería
59,2016-1,3,12,MATRICULADO,Ingeniería
50,2007-2,22,28,NO MATRICULADO,Ingeniería
61,2008-2,14,37,NO MATRICULADO,Ingeniería
12,2008-1,15,36,GRADUADO,Ingeniería
54,2006-2,17,28,NO MATRICULADO,Ingeniería
53,2015-1,2,28,MATRICULADO,Ingeniería
76,2014-1,1,12,MATRICULADO,Ingeniería
22,2007-2,14,12,GRADUADO,Ingeniería
67,2013-1,3,28,MATRICULADO,Ingeniería
45,2009-1,8,12,MATRICULADO,Ingeniería
11,2010-1,12,47,NO MATRICULADO,Ingeniería
63,2009-1,14,37,NO MATRICULADO,Ingeniería
43,2008-2,12,28,NO MATRICULADO,Ingeniería
14,2010-1,8,37,MATRICULADO,Ingeniería
55,2014-1,5,12,MATRICULADO,Ingeniería
4,2013-2,6,47,NO MATRICULADO,Ingeniería
29,2006-1,19,28,GRADUADO,Ingeniería
59,2006-1,19,34,NO MATRICULADO,Ingeniería
78,2015-1,0,34,MATRICULADO,Ingeniería
47,2011-1,11,28,NO MATRICULADO,Ingeniería
66,2014-1,2,28,MATRICULADO,Ingeniería
65,2007-1,14,37,NO MATRICULADO,Ingeniería
23,2012-2,2,37,MATRICULADO,Ingeniería
34,2011-1,8,28,MATRICULADO,Ingeniería
42,2010-2,6,28,MATRICULADO,Ingeniería
62,2006-1,21,37,NO MATRICULADO,Ingeniería
44,2010-2,10,28,NO MATRICULADO,Ingeniería
4,2009-1,12,AZ,NO MATRICULADO,Ingeniería
43,2009-1,6,12,MATRICULADO,Ingeniería
78,2006-1,0,12,MATRICULADO,Ingeniería
84,2011-2,0,12,MATRICULADO,Ingeniería
14,2006-1,7,37,MATRICULADO,Ingeniería
31,2006-1,7,34,MATRICULADO,Ingeniería
61,2012-1,1,34,MATRICULADO,Ingeniería
3,2015-1,13,DV,GRADUADO,Ingeniería
42,2007-2,2,36,NO MATRICULADO,Ingeniería
27,2007-1,8,34,MATRICULADO,Ingeniería
34,2006-2,9,12,MATRICULADO,Ingeniería
58,2011-1,2,37,NO MATRICULADO,Ingeniería
39,2009-2,2,37,NO MATRICULADO,Ingeniería
24,2009-1,3,36,MATRICULADO,Ingeniería
66,2007-2,0,37,MATRICULADO,Ingeniería
44,2008-2,26,28,NO MATRICULADO,Ingeniería
12,2019-1,1,TS,NO MATRICULADO,Ingeniería
52,2012-1,18,36,NO MATRICULADO,Ingeniería
56,2011-1,19,34,NO MATRICULADO,Ingeniería
32,2019-1,0,TS,MATRICULADO,Ingeniería
45,2011-1,20,36,NO MATRICULADO,Ingeniería
13,2018-2,1,FI,NO MATRICULADO,Ingeniería
17,2016-2,5,34,MATRICULADO,Ingeniería
30,2017-1,1,28C,MATRICULADO,Ingeniería
36,2012-1,8,28,MATRICULADO,Ingeniería
21,2017-2,1,28,NO MATRICULADO,Ingeniería
47,2013-1,9,12,MATRICULADO,Ingeniería
31,2010-1,15,12,GRADUADO,Ingeniería
27,2017-1,3,12,NO MATRICULADO,Ingeniería
45,2012-1,12,12,NO MATRICULADO,Ingeniería
43,2011-1,14,12,NO MATRICULADO,Ingeniería
49,2012-1,9,36,NO MATRICULADO,Ingeniería
45,2010-2,12,28,NO MATRICULADO,Ingeniería
32,2008-1,20,28,GRADUADO,Ingeniería
42,2012-2,4,37,NO MATRICULADO,Ingeniería
43,2008-1,12,28,NO MATRICULADO,Ingeniería
10,2008-2,10,37,MATRICULADO,Ingeniería
29,2012-1,3,12,NO MATRICULADO,Ingeniería
36,2012-1,2,36,MATRICULADO,Ingeniería
49,2012-1,5,34,NO MATRICULADO,Ingeniería
46,2009-2,13,28,NO MATRICULADO,Ingeniería
50,2012-2,5,28,NO MATRICULADO,Ingeniería
37,2010-2,8,12,NO MATRICULADO,Ingeniería
44,2010-2,9,36,NO MATRICULADO,Ingeniería
35,2011-1,6,28,MATRICULADO,Ingeniería
9,2007-2,1,12,NO MATRICULADO,Ingeniería
76,2010-1,0,37,MATRICULADO,Ingeniería
37,2006-2,11,12,NO MATRICULADO,Ingeniería
20,2008-1,3,12,NO MATRICULADO,Ingeniería
49,2007-2,4,37,NO MATRICULADO,Ingeniería
3,2015-1,13,47,NO MATRICULADO,Ingeniería
50,2012-2,18,12,NO MATRICULADO,Ingeniería
57,2016-2,4,12,MATRICULADO,Ingeniería
3,2010-2,20,47,NO MATRICULADO,Ingeniería
5,2012-2,14,47,NO MATRICULADO,Ingeniería
26,2016-1,5,12,NO MATRICULADO,Ingeniería
60,2009-1,23,34,NO MATRICULADO,Ingeniería
16,2013-1,11,34,GRADUADO,Ingeniería
13,2019-2,1,12,NO MATRICULADO,Ingeniería
13,2019-1,2,FI,NO MATRICULADO,Ingeniería
31,2007-2,25,28,GRADUADO,Ingeniería
21,2012-2,13,12,MATRICULADO,Ingeniería
14,2018-1,5,37,MATRICULADO,Ingeniería
28,2016-1,8,12,NO MATRICULADO,Ingeniería
20,2016-1,8,37,MATRICULADO,Ingeniería
59,2018-2,2,28,MATRICULADO,Ingeniería
30,2014-1,12,28,GRADUADO,Ingeniería
53,2012-1,9,34,NO MATRICULADO,Ingeniería
45,2010-2,15,36,NO MATRICULADO,Ingeniería
41,2008-2,16,12,NO MATRICULADO,Ingeniería
41,2013-1,8,28,NO MATRICULADO,Ingeniería
75,2016-1,0,37,MATRICULADO,Ingeniería
64,2015-2,1,12,MATRICULADO,Ingeniería
13,2010-2,13,AY,GRADUADO,Ingeniería
39,2010-1,14,12,NO MATRICULADO,Ingeniería
52,2007-1,20,34,NO MATRICULADO,Ingeniería
46,2012-1,11,12,NO MATRICULADO,Ingeniería
11,2010-2,14,AY,NO MATRICULADO,Ingeniería
55,2010-1,15,34,NO MATRICULADO,Ingeniería
30,2009-1,17,12,GRADUADO,Ingeniería
36,2007-2,15,12,NO MATRICULADO,Ingeniería
39,2006-1,10,28,NO MATRICULADO,Ingeniería
42,2006-1,13,28,NO MATRICULADO,Ingeniería
4,2008-2,14,47,NO MATRICULADO,Ingeniería
52,2010-1,4,28,MATRICULADO,Ingeniería
81,2015-1,0,37,MATRICULADO,Ingeniería
54,2006-2,16,28,NO MATRICULADO,Ingeniería
47,2013-2,3,12,MATRICULADO,Ingeniería
13,2013-2,1,36,MATRICULADO,Ingeniería
58,2006-1,12,34,NO MATRICULADO,Ingeniería
18,2010-1,3,37,MATRICULADO,Ingeniería
48,2010-1,8,12,MATRICULADO,Ingeniería
55,2006-2,14,37,NO MATRICULADO,Ingeniería
57,2008-1,7,34,NO MATRICULADO,Ingeniería
14,2012-2,1,36,NO MATRICULADO,Ingeniería
9,2013-1,15,28,MATRICULADO,Ingeniería
46,2010-2,20,12,NO MATRICULADO,Ingeniería
37,2010-1,21,28,NO MATRICULADO,Ingeniería
32,2012-1,18,34,GRADUADO,Ingeniería
39,2006-1,5,12,MATRICULADO,Ingeniería
38,2010-1,22,12,GRADUADO,Ingeniería
46,2007-2,6,28,NO MATRICULADO,Ingeniería
33,2006-1,30,12,GRADUADO,Ingeniería
35,2008-2,2,36,NO MATRICULADO,Ingeniería
33,2008-2,2,28,NO MATRICULADO,Ingeniería
40,2016-2,10,12,NO MATRICULADO,Ingeniería
43,2010-1,19,12,NO MATRICULADO,Ingeniería
51,2012-1,16,28,NO MATRICULADO,Ingeniería
39,2016-1,5,36,NO MATRICULADO,Ingeniería
11,2018-2,2,FI,MATRICULADO,Ingeniería
45,2010-2,16,12,NO MATRICULADO,Ingeniería
15,2018-2,1,FI,MATRICULADO,Ingeniería
22,2018-1,2,12,NO MATRICULADO,Ingeniería
48,2016-2,7,28,NO MATRICULADO,Ingeniería
35,2014-2,11,12,MATRICULADO,Ingeniería
53,2014-1,12,34,NO MATRICULADO,Ingeniería
56,2011-2,16,37,NO MATRICULADO,Ingeniería
55,2009-2,16,37,NO MATRICULADO,Ingeniería
40,2007-1,21,28,NO MATRICULADO,Ingeniería
35,2011-2,10,12,MATRICULADO,Ingeniería
30,2015-1,4,37,MATRICULADO,Ingeniería
9,2008-1,20,37,GRADUADO,Ingeniería
15,2013-2,7,47,GRADUADO,Ingeniería
49,2012-1,10,28,NO MATRICULADO,Ingeniería
44,2009-2,15,28,NO MATRICULADO,Ingeniería
51,2013-1,6,12,MATRICULADO,Ingeniería
8,2013-1,4,47,NO MATRICULADO,Ingeniería
63,2016-2,0,34,MATRICULADO,Ingeniería
5,2010-1,12,37,GRADUADO,Ingeniería
44,2008-2,9,28,NO MATRICULADO,Ingeniería
50,2010-1,8,34,NO MATRICULADO,Ingeniería
46,2010-1,8,28,MATRICULADO,Ingeniería
13,2007-2,8,37,MATRICULADO,Ingeniería
14,2006-2,15,12,GRADUADO,Ingeniería
24,2010-2,2,28,NO MATRICULADO,Ingeniería
10,2008-2,5,37,MATRICULADO,Ingeniería
14,2008-1,6,37,MATRICULADO,Ingeniería
43,2009-1,5,28,NO MATRICULADO,Ingeniería
30,2008-1,6,34,MATRICULADO,Ingeniería
30,2008-1,6,12,NO MATRICULADO,Ingeniería
38,2011-1,3,34,NO MATRICULADO,Ingeniería
36,2007-1,7,12,MATRICULADO,Ingeniería
8,2006-2,14,36,MATRICULADO,Ingeniería
50,2008-2,8,12,MATRICULADO,Ingeniería
39,2013-2,1,28,MATRICULADO,Ingeniería
55,2008-2,3,37,NO MATRICULADO,Ingeniería
43,2009-1,1,37,MATRICULADO,Ingeniería
23,2014-1,12,12,GRADUADO,Ingeniería
26,2014-1,12,12,MATRICULADO,Ingeniería
49,2017-2,7,12,MATRICULADO,Ingeniería
50,2013-1,16,37,NO MATRICULADO,Ingeniería
35,2006-1,5,36,NO MATRICULADO,Ingeniería
22,2012-2,18,28,GRADUADO,Ingeniería
56,2010-1,23,36,NO MATRICULADO,Ingeniería
60,2009-1,24,34,NO MATRICULADO,Ingeniería
24,2007-1,27,34,GRADUADO,Ingeniería
37,2007-2,27,12,NO MATRICULADO,Ingeniería
3,2021-2,0,AY,MATRICULADO,Ingeniería
64,2019-2,2,12,MATRICULADO,Ingeniería
48,2013-1,13,37,NO MATRICULADO,Ingeniería
6,2011-1,13,47,NO MATRICULADO,Ingeniería
42,2008-1,23,12,GRADUADO,Ingeniería
8,2010-2,15,28,MATRICULADO,Ingeniería
23,2017-2,3,37,MATRICULADO,Ingeniería
16,2017-1,4,FV28,NO MATRICULADO,Ingeniería
33,2016-2,5,12,NO MATRICULADO,Ingeniería
9,2018-2,0,47,MATRICULADO,Ingeniería
34,2011-2,5,12,NO MATRICULADO,Ingeniería
62,2006-1,22,37,NO MATRICULADO,Ingeniería
24,2011-1,10,34,MATRICULADO,Ingeniería
64,2011-1,6,37,NO MATRICULADO,Ingeniería
39,2009-2,9,36,NO MATRICULADO,Ingeniería
66,2010-1,10,37,NO MATRICULADO,Ingeniería
41,2006-2,19,12,NO MATRICULADO,Ingeniería
29,2006-1,23,28,GRADUADO,Ingeniería
31,2012-2,6,36,NO MATRICULADO,Ingeniería
31,2010-2,10,28,MATRICULADO,Ingeniería
64,2009-1,13,37,NO MATRICULADO,Ingeniería
12,2008-1,13,34,GRADUADO,Ingeniería
17,2014-1,4,AY,NO MATRICULADO,Ingeniería
42,2007-2,7,12,MATRICULADO,Ingeniería
40,2012-1,1,37,MATRICULADO,Ingeniería
11,2012-2,2,AY,MATRICULADO,Ingeniería
47,2010-1,7,12,MATRICULADO,Ingeniería
15,2007-2,1,37,NO MATRICULADO,Ingeniería
49,2011-1,2,34,MATRICULADO,Ingeniería
43,2011-1,2,28,MATRICULADO,Ingeniería
12,2007-2,27,36,GRADUADO,Ingeniería
16,2018-2,3,34,NO MATRICULADO,Ingeniería
15,2013-2,12,12,NO MATRICULADO,Ingeniería
45,2018-2,4,28,MATRICULADO,Ingeniería
6,2012-1,15,37,GRADUADO,Ingeniería
30,2013-1,14,36,NO MATRICULADO,Ingeniería
24,2015-1,13,12,NO MATRICULADO,Ingeniería
13,2013-1,16,36,GRADUADO,Ingeniería
46,2009-2,22,12,NO MATRICULADO,Ingeniería
23,2014-1,6,36,NO MATRICULADO,Ingeniería
29,2017-2,0,FI,MATRICULADO,Ingeniería
8,2011-1,12,12,GRADUADO,Ingeniería
14,2011-1,12,34,GRADUADO,Ingeniería
46,2007-1,21,36,NO MATRICULADO,Ingeniería
21,2018-1,2,37,MATRICULADO,Ingeniería
24,2015-2,7,36,NO MATRICULADO,Ingeniería
4,2014-1,6,AY,GRADUADO,Ingeniería
51,2007-1,15,34,NO MATRICULADO,Ingeniería
61,2012-1,6,37,NO MATRICULADO,Ingeniería
54,2007-2,17,37,NO MATRICULADO,Ingeniería
9,2007-1,14,34,MATRICULADO,Ingeniería
7,2012-2,8,47,NO MATRICULADO,Ingeniería
4,2006-1,16,37,GRADUADO,Ingeniería
53,2013-1,17,34,NO MATRICULADO,Ingeniería
38,2010-1,23,28,NO MATRICULADO,Ingeniería
42,2007-1,8,36,NO MATRICULADO,Ingeniería
39,2011-1,3,28,NO MATRICULADO,Ingeniería
43,2009-1,7,12,MATRICULADO,Ingeniería
6,2015-1,13,36,MATRICULADO,Ingeniería
35,2008-1,9,12,NO MATRICULADO,Ingeniería
53,2011-1,20,28,NO MATRICULADO,Ingeniería
46,2007-1,26,36,NO MATRICULADO,Ingeniería
42,2008-1,25,12,GRADUADO,Ingeniería
27,2013-2,11,37,NO MATRICULADO,Ingeniería
24,2020-2,1,FI,MATRICULADO,Ingeniería
9,2010-2,19,AY,NO MATRICULADO,Ingeniería
17,2011-1,13,12,GRADUADO,Ingeniería
53,2007-2,20,37,NO MATRICULADO,Ingeniería
42,2011-1,12,36,NO MATRICULADO,Ingeniería
30,2011-1,16,12,GRADUADO,Ingeniería
17,2009-1,18,36,GRADUADO,Ingeniería
34,2017-2,1,34,MATRICULADO,Ingeniería
17,2018-1,1,12,NO MATRICULADO,Ingeniería
36,2014-2,7,37,NO MATRICULADO,Ingeniería
19,2016-2,4,34,MATRICULADO,Ingeniería
31,2010-1,5,12,NO MATRICULADO,Ingeniería
65,2014-1,1,34,MATRICULADO,Ingeniería
6,2010-2,10,28,GRADUADO,Ingeniería
21,2008-1,11,34,MATRICULADO,Ingeniería
27,2011-2,9,28,MATRICULADO,Ingeniería
54,2010-1,12,34,NO MATRICULADO,Ingeniería
11,2011-2,7,37,MATRICULADO,Ingeniería
43,2011-1,8,36,NO MATRICULADO,Ingeniería
39,2008-2,15,12,NO MATRICULADO,Ingeniería
43,2008-2,11,12,MATRICULADO,Ingeniería
12,2008-2,13,28,GRADUADO,Ingeniería
26,2006-2,19,28,GRADUADO,Ingeniería
38,2010-2,1,37,MATRICULADO,Ingeniería
33,2014-1,15,28,NO MATRICULADO,Ingeniería
7,2013-2,15,37,GRADUADO,Ingeniería
14,2018-1,7,AY,NO MATRICULADO,Ingeniería
9,2011-2,20,AY,NO MATRICULADO,Ingeniería
41,2007-2,28,12,GRADUADO,Ingeniería
61,2007-1,6,37,NO MATRICULADO,Ingeniería
23,2019-2,3,FI,MATRICULADO,Ingeniería
1,2010-1,21,AT,GRADUADO,Ingeniería
61,2017-1,4,12,MATRICULADO,Ingeniería
54,2016-1,7,28,NO MATRICULADO,Ingeniería
4,2011-1,17,34,MATRICULADO,Ingeniería
45,2012-1,8,12,MATRICULADO,Ingeniería
43,2015-1,6,28,MATRICULADO,Ingeniería
56,2010-2,14,37,NO MATRICULADO,Ingeniería
10,2007-2,18,12,MATRICULADO,Ingeniería
58,2008-2,6,37,NO MATRICULADO,Ingeniería
38,2010-2,9,28,MATRICULADO,Ingeniería
31,2011-1,3,36,NO MATRICULADO,Ingeniería
22,2014-1,3,36,NO MATRICULADO,Ingeniería
14,2011-1,7,37,MATRICULADO,Ingeniería
53,2010-2,8,37,NO MATRICULADO,Ingeniería
26,2008-2,12,28,MATRICULADO,Ingeniería
34,2008-2,7,28,MATRICULADO,Ingeniería
43,2006-2,16,12,NO MATRICULADO,Ingeniería
37,2006-1,8,12,MATRICULADO,Ingeniería
64,2007-1,1,28,MATRICULADO,Ingeniería
43,2017-1,6,28,NO MATRICULADO,Ingeniería
27,2009-2,19,12,GRADUADO,Ingeniería
23,2009-1,21,34,GRADUADO,Ingeniería
46,2010-2,19,12,NO MATRICULADO,Ingeniería
18,2013-1,11,28,GRADUADO,Ingeniería
22,2014-1,10,34,MATRICULADO,Ingeniería
25,2012-2,10,28,MATRICULADO,Ingeniería
16,2014-1,3,37,MATRICULADO,Ingeniería
59,2010-1,4,37,NO MATRICULADO,Ingeniería
56,2012-1,4,37,NO MATRICULADO,Ingeniería
