NombreProgramaAcademico,CodigoSNIES,EstadDelPrograma,ResolucionRegistroCalificadoRC,DuraciónRCAños,AcreditadoAltaCalidadAC,ResoluciónAC,DuraciónACAños,Año
Ingeniería de Sistemas y Computación,269,Ofrecido,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",7,Si,16816 DEL 19-AGO-2016,4,2017
Maestría en Ingeniería Eléctrica,5329,Ofrecido,5348 DEL 10-MAY-2013,7,Si,3229 DEL 05-ABR-2013,6,2015
Ingeniería Electrónica (Nocturno),13090,Ofrecido,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",7,No,,,2015
Ingeniería Eléctrica,270,Ofrecido,11109 DEL 11-SEP-2012,7,No,,,2015
Ingeniería Física,4093,Ofrecido,5733 DEL 13-JUL-2011,7,Si,9886 DEL 22-AGO-2012,4,2015
Ingeniería de Sistemas y Computación,269,Ofrecido,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",7,No,,,2015
Maestría en Ingeniería Eléctrica,5329,Ofrecido,5348 DEL 10-MAY-2013,7,Si,3229 DEL 05-ABR-2013,6,2014
Ingeniería Electrónica (Nocturno),13090,Ofrecido,"8460 DEL 28-OCT-2009 (La vigencia de la resolución cuenta a partir del ""26-NOV-2009"")",7,No,,,2014
Ingeniería Eléctrica,270,Ofrecido,11109 DEL 11-SEP-2012,7,No,,,2014
Ingeniería Física,4093,Ofrecido,5733 DEL 13-JUL-2011,7,Si,9886 DEL 22-AGO-2012,4,2014
Ingeniería de Sistemas y Computación,269,Ofrecido,"7903 DEL 16-JUL-2012 (La vigencia de la resolución cuenta a partir del ""22-DIC-2010"")",7,Si,12268 DEL 22-DIC-2010,4,2014
