CANTIDAD,ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS
12,4. Graduado,3,2007-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,071 a 081
610,2. Permanece programa,7,2009-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,091 a 101
8,1. No matriculado,9,2010-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,101 a 111
18,3. Cambio de programa,9,2010-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,101 a 111
6,3. Cambio de programa,11,2011-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,111 a 121
10,4. Graduado,12,2011-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,112 a 122
539,2. Permanece programa,13,2012-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,121 a 131
14,4. Graduado,14,2012-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,122 a 132
13,3. Cambio de programa,15,2013-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,131 a 141
853,2. Permanece programa,16,2013-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,132 a 142
22,4. Graduado,16,2013-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,132 a 142
2,3. Cambio de programa,16,2013-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,132 a 142
24,2. Permanece programa,17,2014-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,141 a 151
14,3. Cambio de programa,17,2014-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,141 a 151
103,4. Graduado,18,2014-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,142 a 152
7,4. Graduado,19,2015-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,151 a 161
24,2. Permanece programa,19,2015-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,151 a 161
1,4. Graduado,20,2015-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,152 a 162
30,1. No matriculado,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 171
42,1. No matriculado,22,2016-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,162 a 172
