COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2015-1,28,1,III,Femenino,General,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2015-1,34,1,I,Masculino,Santa Rosa De Cabal,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-1,DV,3,IV,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-2,12,1,II,Femenino,Negritudes,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2016-1,28,1,I,Masculino,,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2016-1,37,1,I,Femenino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2016-2,28,1,I,Masculino,Pueblo Rico,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2016-2,47,1,IV,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-1,12,1,III,Femenino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-1,12,1,II,Masculino,Guatica,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-1,12,5,II,Femenino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-1,36,2,V,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2015-1,37,30,II,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2015-2,12,1,IV,Masculino,Santa Rosa De Cabal,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2016-1,12,2,III,Femenino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2016-1,12,2,III,Femenino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2016-1,28,3,IV,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
