COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2018-1,TS,1,III,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2018-2,12,3,II,Femenino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2018-2,28,1,I,Masculino,Negritudes,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2018-2,34,1,II,Femenino,General,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2019-1,12,1,III,Masculino,Desplazado,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2019-1,12,22,III,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,DV,3,V,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-2,12,1,III,Masculino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2017-1,FV28,1,II,Femenino,Santuario,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-1,FV34,1,II,Femenino,Belen De Umbria,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2017-2,28,1,II,Masculino,Balboa,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2017-2,37,2,III,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2017-2,FI,1,IV,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2018-1,12,4,II,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2018-1,34,1,II,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2018-1,34,1,IV,Femenino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2018-2,28,1,I,Masculino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,34,47,II,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-1,37,1,I,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2020-1,28,1,I,Femenino,Santuario,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,34,2,III,Femenino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,12,3,I,Femenino,Desplazado,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,12,3,IV,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2020-2,28,1,I,Masculino,Santuario,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,28,8,I,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,28C,2,IV,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,37,1,IV,Femenino,Desplazado,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,12,10,II,Masculino,Risaralda,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,37,1,I,Masculino,Desplazado,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,37,1,I,Masculino,Santuario,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,37,2,III,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2021-1,FI,12,I,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,12,1,,Masculino,Fuera De Risaralda,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,12,17,I,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-2,28,2,I,Masculino,Desplazado,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-2,37,2,I,Masculino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-1,AY,4,II,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,FI,1,II,Masculino,Mistrato,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-1,FI,1,III,Masculino,Desplazado,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,28,1,II,Masculino,Belen De Umbria,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,28,1,IV,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,28,1,,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2020-2,AT,1,IV,Femenino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,TS,1,II,Masculino,Desplazado,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,12,1,I,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,12,1,IV,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,34,1,VI,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,47,1,,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,FI,2,I,Femenino,Comunidad Indigena,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,TS,1,I,Femenino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,TS,1,II,Masculino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,FI,1,I,Masculino,Risaralda,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,TS,1,II,Masculino,Fuera De Risaralda,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,12,1,VI,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,28,4,II,Masculino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,34,1,V,Masculino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,36,13,II,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2019-2,28,3,III,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2019-2,AY,1,V,Femenino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2019-2,FI,1,I,Masculino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,28,1,II,Femenino,Guatica,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,34,1,IV,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,12,5,I,Masculino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,28,1,II,Femenino,Santuario,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,28,1,VI,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-2,28,94,III,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-2,34,1,I,Femenino,Santa Rosa De Cabal,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2020-2,37,1,,Femenino,,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-1,37,1,III,Masculino,General,Privado,Cancelado,09/15/2021 00:00:00,Ingeniería
2021-1,47,1,V,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2021-1,AY,1,I,Masculino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-1,FI,26,III,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,28,1,III,Masculino,Fuera De Risaralda,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-2,12,25,III,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2019-2,DV,1,IV,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2020-1,12,1,II,Masculino,Santa Rosa De Cabal,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2020-1,34,2,I,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2020-1,47,7,III,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
