TipoDeVinculacion,Semestre,NivelDeFormacion,CantidadDeDocentes
Planta,2014-1,Maestría,20
Planta,2014-1,Profesional,3
Transitorio,2014-1,Doctorado,1
Transitorio,2014-1,Especialización,7
Transitorio,2014-1,Maestría,8
Transitorio,2014-1,Profesional,4
Cátedra,2014-2,Especialización,23
Cátedra,2014-2,Maestría,22
Cátedra,2014-2,Profesional,48
Planta,2014-2,Doctorado,8
Planta,2014-2,Especialización,2
Planta,2014-2,Maestría,19
Planta,2014-2,Profesional,3
Transitorio,2014-2,Doctorado,1
Transitorio,2014-2,Especialización,6
Transitorio,2014-2,Maestría,9
Transitorio,2014-2,Profesional,4
Cátedra,2013-1,Especialización,14
Cátedra,2013-1,Maestría,10
Cátedra,2013-1,Profesional,60
Planta,2013-1,Doctorado,5
Planta,2013-1,Especialización,3
Planta,2013-1,Maestría,17
Planta,2013-1,Profesional,3
Transitorio,2013-1,Doctorado,1
Transitorio,2013-1,Especialización,6
Transitorio,2013-1,Maestría,9
Transitorio,2013-1,Profesional,7
Cátedra,2013-2,Especialización,18
Cátedra,2013-2,Maestría,19
Cátedra,2013-2,Profesional,55
Planta,2013-2,Doctorado,6
Planta,2013-2,Especialización,2
Planta,2013-2,Maestría,21
Planta,2013-2,Profesional,3
Transitorio,2013-2,Doctorado,1
Transitorio,2013-2,Especialización,8
Transitorio,2013-2,Maestría,5
Transitorio,2013-2,Profesional,5
Cátedra,2012-1,Especialización,18
Cátedra,2012-1,Maestría,9
Cátedra,2012-1,Profesional,47
Planta,2012-1,Doctorado,5
Planta,2012-1,Especialización,3
Planta,2012-1,Maestría,17
Planta,2012-1,Profesional,3
Transitorio,2012-1,Doctorado,1
Transitorio,2012-1,Especialización,4
Transitorio,2012-1,Maestría,9
Transitorio,2012-1,Profesional,9
Cátedra,2012-2,Especialización,19
Cátedra,2012-2,Maestría,14
Cátedra,2012-2,Profesional,57
Planta,2012-2,Doctorado,5
Planta,2012-2,Especialización,3
Planta,2012-2,Maestría,17
Planta,2012-2,Profesional,3
Transitorio,2012-2,Doctorado,1
Transitorio,2012-2,Especialización,7
Transitorio,2012-2,Maestría,9
Transitorio,2012-2,Profesional,6
Cátedra,2011-1,Especialización,14
Cátedra,2011-1,Maestría,15
Cátedra,2011-1,Profesional,54
Planta,2011-1,Doctorado,4
Planta,2011-1,Especialización,3
Planta,2011-1,Maestría,18
Planta,2011-1,Profesional,3
Transitorio,2011-1,Doctorado,1
Transitorio,2011-1,Especialización,4
Transitorio,2011-1,Maestría,7
Transitorio,2011-1,Profesional,12
Cátedra,2011-2,Especialización,15
Cátedra,2011-2,Maestría,14
Cátedra,2011-2,Profesional,59
Planta,2011-2,Doctorado,4
Planta,2011-2,Especialización,3
Planta,2011-2,Maestría,18
Planta,2011-2,Profesional,3
Transitorio,2011-2,Doctorado,1
Transitorio,2011-2,Especialización,4
Transitorio,2011-2,Maestría,10
Transitorio,2011-2,Profesional,9
Cátedra,2010-1,Especialización,14
Cátedra,2010-1,Maestría,8
Cátedra,2010-1,Profesional,37
Planta,2010-1,Doctorado,3
Planta,2010-1,Especialización,3
Planta,2010-1,Maestría,18
Planta,2010-1,Profesional,3
Transitorio,2010-1,Especialización,3
Transitorio,2010-1,Maestría,6
Transitorio,2010-1,Profesional,10
Cátedra,2010-2,Especialización,19
Cátedra,2010-2,Maestría,13
Cátedra,2010-2,Profesional,64
Planta,2010-2,Doctorado,4
Planta,2010-2,Especialización,3
Planta,2010-2,Maestría,17
Planta,2010-2,Profesional,3
Transitorio,2010-2,Especialización,3
Transitorio,2010-2,Maestría,6
Transitorio,2010-2,Profesional,8
