ID,Programa,-17,"mas 17, menos 22",22,23,24,25,26-30,31+,AÑO
87,Ingeniería Física (Básicos ingenieria),,12,1,1,1,,,,2017-2
88,Ingeniería de Sistemas y Computación,,174,102,92,77,105,161,45,2017-2
89,Ingeniería de Sistemas y Computación (Básicos ingeniería),,7,12,4,4,,,1,2017-2
90,Ingeniería de Sistemas y Computación (Convenio Cuba),,18,10,6,1,4,2,,2017-2
91,Ingeniería de Sistemas y Computación (Nocturno),,37,33,17,22,27,80,62,2017-2
92,Ingeniería Electrónica (Diurna),,88,13,7,2,2,7,2,2018-1
93,Ingeniería Electrónica (Nocturno),,32,10,16,19,15,48,26,2018-1
94,Ingeniería Eléctrica,,114,103,114,104,135,298,81,2018-1
95,Ingeniería Eléctrica (Básicos ingeniería),,36,7,2,,1,,,2018-1
96,Ingeniería Física,,84,61,47,35,33,48,17,2018-1
97,Ingeniería Física (Básicos ingenieria),,35,,1,1,,,,2018-1
98,Ingeniería de Sistemas y Computación,,154,107,86,76,92,130,36,2018-1
99,Ingeniería de Sistemas y Computación (Básicos ingeniería),,36,11,3,2,,,1,2018-1
100,Ingeniería de Sistemas y Computación (Convenio Cuba),,38,10,5,1,4,2,,2018-1
101,Ingeniería de Sistemas y Computación (Nocturno),,59,30,18,23,25,78,53,2018-1
102,Ingeniería Electrónica (Diurna),,92,11,9,3,1,8,1,2018-2
103,Ingeniería Electrónica (Nocturno),,6,10,16,17,11,39,21,2018-2
104,Ingeniería Eléctrica,,196,116,116,101,122,246,73,2018-2
105,Ingeniería Eléctrica (Básicos ingeniería),,8,7,2,,1,,,2018-2
106,Ingeniería Física,,164,61,46,29,25,39,17,2018-2
107,Ingeniería Física (Básicos ingenieria),,11,,1,1,,,,2018-2
108,Ingeniería de Sistemas y Computación,,277,102,84,71,75,113,31,2018-2
109,Ingeniería de Sistemas y Computación (Básicos ingeniería),,6,11,3,2,,,,2018-2
110,Ingeniería de Sistemas y Computación (Convenio Cuba),,16,10,5,1,3,2,,2018-2
111,Ingeniería de Sistemas y Computación (Nocturno),,40,23,14,19,21,69,45,2018-2
112,Ingeniería Electrónica (Diurna),1,144,13,5,3,3,8,1,2019-1
113,Ingeniería Electrónica (Nocturno),,5,10,13,16,9,29,18,2019-1
114,Ingeniería Eléctrica,,269,116,122,89,109,198,59,2019-1
115,Ingeniería Física,2,162,59,43,24,13,29,15,2019-1
116,Ingeniería de Sistemas y Computación,1,324,107,81,59,66,87,26,2019-1
117,Ingeniería de Sistemas y Computación (Convenio Cuba),,18,10,3,1,3,2,,2019-1
118,Ingeniería de Sistemas y Computación (Nocturno),,84,26,18,22,23,63,49,2019-1
119,Tecnología en Desarrollo de Software,,25,2,,,1,3,1,2019-1
120,Ingeniería Electrónica (Diurna),2,135,13,4,4,4,9,1,2019-2
121,Ingeniería Electrónica (Nocturno),,4,9,12,15,7,27,14,2019-2
122,Ingeniería Eléctrica,,319,113,112,84,92,164,46,2019-2
123,Ingeniería Física,4,185,55,39,16,11,24,14,2019-2
124,Ingeniería de Sistemas y Computación,5,364,102,75,53,54,68,21,2019-2
125,Ingeniería de Sistemas y Computación (Convenio Cuba),,16,10,2,1,3,2,,2019-2
126,Ingeniería de Sistemas y Computación (Nocturno),,59,27,16,17,24,65,45,2019-2
127,Tecnología en Desarrollo de Software,,17,1,,,1,3,1,2019-2
128,Ingeniería Electrónica (Diurna),13,177,11,6,4,5,8,1,2020-1
129,Ingeniería Electrónica (Nocturno),,5,8,12,10,5,23,12,2020-1
130,Ingeniería Eléctrica,20,352,112,103,79,80,150,39,2020-1
131,Ingeniería Física,20,188,53,37,17,9,20,15,2020-1
132,Ingeniería de Sistemas y Computación,25,421,101,61,44,41,60,17,2020-1
133,Ingeniería de Sistemas y Computación (Convenio Cuba),,15,10,2,1,2,1,,2020-1
134,Ingeniería de Sistemas y Computación (Nocturno),14,117,28,16,17,20,67,39,2020-1
135,Tecnología en Desarrollo de Software,6,32,3,,1,2,4,2,2020-1
136,Ingeniería Electrónica (Diurna),17,192,14,5,3,4,10,1,2020-2
137,Ingeniería Electrónica (Nocturno),,5,7,10,7,5,15,7,2020-2
138,Ingeniería Eléctrica,29,408,124,102,74,77,143,42,2020-2
139,Ingeniería Física,26,206,49,31,13,10,23,14,2020-2
140,Ingeniería de Sistemas y Computación,44,460,99,53,36,39,59,23,2020-2
141,Ingeniería de Sistemas y Computación (Convenio Cuba),,15,10,2,1,2,1,,2020-2
142,Ingeniería de Sistemas y Computación (Nocturno),17,134,30,18,19,18,72,37,2020-2
143,Tecnología en Desarrollo de Software,6,23,1,,2,2,4,2,2020-2
144,Ingeniería Electrónica (Diurna),59,196,12,5,3,5,8,1,2021-1
145,Ingeniería Electrónica (Nocturno),,5,9,8,4,4,12,5,2021-1
146,Ingeniería Eléctrica,73,401,110,83,61,58,119,44,2021-1
147,Ingeniería Física,59,192,37,20,12,6,13,8,2021-1
148,Ingeniería de Sistemas y Computación,114,434,81,45,28,30,45,22,2021-1
149,Ingeniería de Sistemas y Computación (Convenio Cuba),,15,10,1,1,2,1,,2021-1
150,Ingeniería de Sistemas y Computación (Nocturno),36,133,32,14,12,18,61,27,2021-1
151,Tecnología en Desarrollo de Software,6,16,1,,2,1,2,,2021-1
152,Ingeniería Electrónica (Diurna),71,189,15,6,3,5,7,3,2021-2
153,Ingeniería Electrónica (Nocturno),,5,6,4,1,3,11,5,2021-2
154,Ingeniería Eléctrica,98,416,104,78,54,50,112,44,2021-2
155,Ingeniería Física,69,189,31,17,12,4,13,6,2021-2
156,Ingeniería de Sistemas y Computación,172,441,77,35,25,23,38,16,2021-2
157,Ingeniería de Sistemas y Computación (Nocturno),54,160,34,14,16,16,57,31,2021-2
158,Tecnología en Desarrollo de Software,24,27,2,1,5,1,4,,2021-2
