ProgramaAcademico,Inscrito,Primer curso,Matriculado,Graduado,Año
Doctorado en Ingeniería,39,8,64,8,2020
Especialización en Electrónica Digital,12,5,15,,2020
Especialización en Redes de Datos,15,7,7,,2020
Ingeniería Electrónica (Diurna),151,94,471,2,2020
Ingeniería Electrónica (Nocturno),,,131,25,2020
Ingeniería Eléctrica,277,157,1.934,117,2020
Ingeniería Física,136,84,731,64,2020
Ingeniería de Sistemas y Computación,500,186,1.583,95,2020
Ingeniería de Sistemas y Computación (Convenio Cuba),,,62,,2020
Ingeniería de Sistemas y Computación (Nocturno),163,117,663,26,2020
Maestría en Ingeniería Eléctrica,71,63,177,20,2020
Maestría en Ingeniería de Sistemas y Computación,42,32,149,9,2020
Tecnología en Desarrollo de Software,100,37,90,,2020
Doctorado en Ingeniería,19,2,32,2,2021
Especialización en Electrónica Digital,,,,1,2021
Especialización en Redes de Datos,25,9,15,,2021
Ingeniería Electrónica (Diurna),157,108,588,,2021
Ingeniería Electrónica (Nocturno),,,82,20,2021
Ingeniería Eléctrica,307,158,1.905,43,2021
Ingeniería Física,192,82,688,12,2021
Ingeniería de Sistemas y Computación,999,190,1.626,36,2021
Ingeniería de Sistemas y Computación (Convenio Cuba),,,30,,2021
Ingeniería de Sistemas y Computación (Nocturno),158,134,715,6,2021
Maestría en Ingeniería Eléctrica,42,18,105,11,2021
Maestría en Ingeniería de Sistemas y Computación,16,4,61,9,2021
Tecnología en Desarrollo de Software,98,37,92,,2021
