Programa,Semestre,Na,Oficial,Privado,Total
Ingeniería Electrónica (Nocturno),2012-2,2,42,16,60
Ingeniería Eléctrica,2012-2,5,107,13,125
Ingeniería de Sistemas y Computación,2012-2,1,113,25,139
Ingeniería de Sistemas y Computación (Nocturno),2012-2,3,59,16,78
Ingeniería Electrónica (Nocturno),2011-1,4,57,18,79
Ingeniería Eléctrica,2011-1,20,113,22,155
Ingeniería Física,2011-1,10,64,13,87
Ingeniería de Sistemas y Computación,2011-1,12,233,38,283
Ingeniería de Sistemas y Computación (Nocturno),2011-1,9,58,23,90
Ingeniería Electrónica (Nocturno),2011-2,5,39,17,61
Ingeniería Eléctrica,2011-2,8,103,17,128
Ingeniería de Sistemas y Computación,2011-2,4,146,38,188
Ingeniería de Sistemas y Computación (Nocturno),2011-2,2,73,10,85
Ingeniería Electrónica (Nocturno),2010-1,15,51,22,88
Ingeniería Eléctrica,2010-1,30,94,18,142
Ingeniería Física,2010-1,21,59,13,93
Ingeniería de Sistemas y Computación,2010-1,53,162,16,231
Ingeniería de Sistemas y Computación (Nocturno),2010-1,23,62,23,108
Ingeniería Electrónica (Nocturno),2010-2,6,49,14,69
Ingeniería Eléctrica,2010-2,6,80,19,105
Ingeniería de Sistemas y Computación,2010-2,13,133,27,173
Ingeniería de Sistemas y Computación (Nocturno),2010-2,4,46,18,68
