Programa,Semestre,Femenino,Masculino,Total
Ingeniería Electrónica (Nocturno),2019-1,4,96,100
Ingeniería Eléctrica,2019-1,164,798,962
Ingeniería Física,2019-1,132,215,347
Ingeniería de Sistemas y Computación,2019-1,93,658,751
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-1,9,28,37
Ingeniería de Sistemas y Computación (Nocturno),2019-1,43,242,285
Tecnología en Desarrollo de Software,2019-1,2,30,32
Ingeniería Electrónica (Diurna),2019-2,33,139,172
Ingeniería Electrónica (Nocturno),2019-2,1,87,88
Ingeniería Eléctrica,2019-2,159,771,930
Ingeniería Física,2019-2,129,219,348
Ingeniería de Sistemas y Computación,2019-2,94,648,742
Ingeniería de Sistemas y Computación (Convenio Cuba),2019-2,9,25,34
Ingeniería de Sistemas y Computación (Nocturno),2019-2,44,236,280
Tecnología en Desarrollo de Software,2019-2,2,21,23
Ingeniería Electrónica (Diurna),2020-1,34,191,225
Ingeniería Electrónica (Nocturno),2020-1,1,74,75
Ingeniería Eléctrica,2020-1,160,775,935
Ingeniería Física,2020-1,131,228,359
Ingeniería de Sistemas y Computación,2020-1,102,668,770
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-1,8,23,31
Ingeniería de Sistemas y Computación (Nocturno),2020-1,51,267,318
Tecnología en Desarrollo de Software,2020-1,5,45,50
Ingeniería Electrónica (Diurna),2020-2,38,208,246
Ingeniería Electrónica (Nocturno),2020-2,1,55,56
Ingeniería Eléctrica,2020-2,164,835,999
Ingeniería Física,2020-2,142,230,372
Ingeniería de Sistemas y Computación,2020-2,113,700,813
Ingeniería de Sistemas y Computación (Convenio Cuba),2020-2,8,23,31
Ingeniería de Sistemas y Computación (Nocturno),2020-2,61,284,345
Tecnología en Desarrollo de Software,2020-2,4,36,40
Ingeniería Electrónica (Diurna),2021-1,44,245,289
Ingeniería Electrónica (Nocturno),2021-1,1,46,47
Ingeniería Eléctrica,2021-1,160,789,949
Ingeniería Física,2021-1,136,211,347
Ingeniería de Sistemas y Computación,2021-1,110,689,799
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-1,8,22,30
Ingeniería de Sistemas y Computación (Nocturno),2021-1,60,273,333
Tecnología en Desarrollo de Software,2021-1,3,25,28
Ingeniería Electrónica (Diurna),2021-2,42,260,302
Ingeniería Electrónica (Nocturno),2021-2,1,34,35
Ingeniería Eléctrica,2021-2,164,802,966
Ingeniería Física,2021-2,129,215,344
Ingeniería de Sistemas y Computación,2021-2,108,720,828
Ingeniería de Sistemas y Computación (Convenio Cuba),2021-2,8,21,29
Ingeniería de Sistemas y Computación (Nocturno),2021-2,73,318,391
Tecnología en Desarrollo de Software,2021-2,7,59,66
