Programa,Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
Ingeniería de Sistemas y Computación (Nocturno),2015-2,0,10,21,19,7,2,2,61
Ingeniería Electrónica (Nocturno),2014-1,0,5,25,9,6,2,0,47
Ingeniería Eléctrica,2014-1,0,43,75,30,14,3,0,165
Ingeniería Física,2014-1,0,19,38,14,5,0,0,76
Ingeniería de Sistemas y Computación,2014-1,0,26,91,44,14,0,1,176
Ingeniería de Sistemas y Computación (Nocturno),2014-1,0,11,34,15,12,3,0,75
Ingeniería Electrónica (Nocturno),2014-2,8,17,8,6,1,0,0,40
Ingeniería Eléctrica,2014-2,35,54,23,7,0,0,0,119
Ingeniería de Sistemas y Computación,2014-2,27,75,24,9,1,0,0,136
Ingeniería de Sistemas y Computación (Nocturno),2014-2,9,28,16,8,0,0,0,61
Ingeniería Electrónica (Nocturno),2013-1,0,2,25,19,12,2,0,60
Ingeniería Eléctrica,2013-1,0,46,87,46,17,2,2,200
Ingeniería Física,2013-1,0,18,39,15,5,1,0,78
Ingeniería de Sistemas y Computación,2013-1,0,39,97,50,20,3,0,209
Ingeniería de Sistemas y Computación (Nocturno),2013-1,0,6,33,17,12,2,1,71
Ingeniería Electrónica (Nocturno),2013-2,0,6,19,13,10,0,1,49
Ingeniería Eléctrica,2013-2,0,24,72,22,5,1,0,124
Ingeniería de Sistemas y Computación,2013-2,0,31,66,30,15,2,0,144
Ingeniería de Sistemas y Computación (Nocturno),2013-2,0,8,22,14,6,0,0,50
Ingeniería Electrónica (Nocturno),2012-2,0,8,24,10,15,2,1,60
Ingeniería Eléctrica,2012-2,0,29,58,23,12,3,0,125
Ingeniería de Sistemas y Computación,2012-2,0,31,65,29,11,2,1,139
Ingeniería de Sistemas y Computación (Nocturno),2012-2,0,14,31,17,15,1,0,78
Ingeniería Electrónica (Nocturno),2012-1,0,8,37,21,26,3,1,96
Ingeniería Eléctrica,2012-1,0,24,66,39,16,5,2,152
Ingeniería Física,2012-1,0,19,39,23,6,1,0,88
Ingeniería de Sistemas y Computación,2012-1,0,29,88,50,20,5,0,192
Ingeniería de Sistemas y Computación (Nocturno),2012-1,0,10,38,28,14,3,1,94
Ingeniería Electrónica (Nocturno),2011-1,0,18,24,17,16,4,0,79
Ingeniería Eléctrica,2011-1,0,38,72,33,10,2,0,155
Ingeniería Física,2011-1,0,15,46,15,9,2,0,87
Ingeniería de Sistemas y Computación,2011-1,0,47,120,74,26,11,5,283
Ingeniería de Sistemas y Computación (Nocturno),2011-1,0,4,36,31,14,2,3,90
Ingeniería Electrónica (Nocturno),2011-2,0,10,21,21,9,0,0,61
Ingeniería Eléctrica,2011-2,0,36,49,29,12,1,1,128
Ingeniería de Sistemas y Computación,2011-2,0,40,88,47,12,1,0,188
Ingeniería de Sistemas y Computación (Nocturno),2011-2,0,12,37,21,12,2,1,85
Ingeniería Electrónica (Nocturno),2010-1,0,11,25,27,21,3,1,88
Ingeniería Eléctrica,2010-1,0,22,60,39,15,4,2,142
Ingeniería Física,2010-1,0,26,33,20,8,5,1,93
Ingeniería de Sistemas y Computación,2010-1,0,49,111,53,15,3,0,231
Ingeniería de Sistemas y Computación (Nocturno),2010-1,0,17,33,37,18,3,0,108
Ingeniería Electrónica (Nocturno),2010-2,0,12,24,16,13,3,1,69
Ingeniería Eléctrica,2010-2,0,27,48,21,8,1,0,105
Ingeniería de Sistemas y Computación,2010-2,0,24,83,42,19,3,2,173
Ingeniería de Sistemas y Computación (Nocturno),2010-2,0,6,33,13,14,1,1,68
