Semestre ,Femenino,Masculino ,Total
2021-2,62,327,389
2021-1,71,313,384
2020-2,62,295,357
2020-1,72,361,433
2019-2,60,255,315
2019-1,75,362,437
2018-2,49,226,275
2018-1,60,315,375
2017-2,54,256,310
2017-1,112,389,501
2016-2,74,276,350
2016-1,82,370,452
2015-2,37,214,251
2015-1,87,323,410
2014-2,44,202,246
2014-1,7,296,303
2013-2,38,143,181
2013-1,91,295,386
2012-2,57,245,302
2012-1,101,300,401
2011-2,68,247,315
2011-1,69,328,397
2010-2,65,257,322
2010-1,78,319,397
