Programa,Semestre,MenorA17,MayorA17MenorA22,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Maestría en Ingeniería de Sistemas y Computación,2017-2,0,0,0,0,0,0,16,41,57
Doctorado en Ingeniería,2018-1,0,0,0,0,0,0,4,33,37
Especialización en Redes de Datos,2018-1,0,0,0,0,0,0,2,2,4
Maestría en Ingeniería Eléctrica,2018-1,0,0,0,0,0,8,52,15,75
Maestría en Ingeniería de Sistemas y Computación,2018-1,0,0,0,0,2,3,23,37,65
Doctorado en Ingeniería,2018-2,0,0,0,0,0,0,4,31,35
Maestría en Ingeniería Eléctrica,2018-2,0,0,0,0,0,9,45,17,71
Maestría en Ingeniería de Sistemas y Computación,2018-2,0,0,0,1,3,4,28,35,71
Doctorado en Ingeniería,2019-1,0,0,0,0,0,0,5,31,36
Especialización en Redes de Datos,2019-1,0,0,0,0,0,0,4,4,8
Maestría en Ingeniería Eléctrica,2019-1,0,0,0,0,3,12,47,12,74
Maestría en Ingeniería de Sistemas y Computación,2019-1,0,0,0,3,4,7,26,37,77
Doctorado en Ingeniería,2019-2,0,0,0,0,0,0,5,29,34
Especialización en Electrónica Digital,2019-2,0,0,0,0,2,0,1,2,5
Especialización en Redes de Datos,2019-2,0,0,0,0,0,0,4,5,9
Maestría en Ingeniería Eléctrica,2019-2,0,0,0,2,4,11,34,5,56
Maestría en Ingeniería de Sistemas y Computación,2019-2,0,0,0,4,6,11,27,31,79
Doctorado en Ingeniería,2021-1,0,0,0,0,0,0,6,26,32
Especialización en Redes de Datos,2021-1,0,0,0,0,0,0,1,5,6
Maestría en Ingeniería Eléctrica,2021-1,0,3,8,13,11,11,38,18,102
Maestría en Ingeniería de Sistemas y Computación,2021-1,0,0,1,6,7,7,16,24,61
Doctorado en Ingeniería,2021-2,0,0,0,0,0,1,1,12,14
Especialización en Redes de Datos,2021-2,0,2,1,0,1,0,5,8,17
Maestría en Ingeniería Eléctrica,2021-2,0,3,8,11,7,6,5,5,45
Maestría en Ingeniería de Sistemas y Computación,2021-2,0,0,0,3,1,2,10,7,23
