Semestre ,Posgrado,Pregrado,Total
2021-2,30,359,389
2021-1,24,360,384
2020-2,63,294,357
2020-1,52,381,433
2019-2,32,283,315
2019-1,42,395,437
2018-2,28,247,275
2018-1,47,328,375
2017-2,28,282,310
2017-1,39,462,501
2016-2,20,330,350
2016-1,38,414,452
2015-2,9,242,251
2015-1,30,380,410
2014-2,10,236,246
2014-1,36,335,371
2013-2,28,153,181
2013-1,27,359,386
2012-2,29,273,302
2012-1,8,393,401
2011-2,29,286,315
2011-1,19,378,397
2010-2,50,272,322
2010-1,19,378,397
