Programa,Semestre,Estrato0,EstratoI,EstratoII,EstratoIII,EstratoIV,EstratoV,EstratoVI,Total
Ingeniería Eléctrica,2013-1,,,1,4,5,,,10
Ingeniería Física,2013-1,,,1,2,,,,3
Ingeniería de Sistemas y Computación,2013-1,,1,6,2,5,,1,15
Ingeniería de Sistemas y Computación (Nocturno),2013-1,,,1,3,,3,,7
Ingeniería Electrónica (Nocturno),2013-2,,3,4,11,6,1,,25
Ingeniería Eléctrica,2013-2,,8,14,15,9,1,,47
Ingeniería Física,2013-2,,2,1,6,1,2,,12
Ingeniería de Sistemas y Computación,2013-2,,4,23,20,11,1,2,61
Ingeniería de Sistemas y Computación (Nocturno),2013-2,,2,1,6,1,3,,13
Ingeniería Electrónica (Nocturno),2012-1,,,2,8,7,,,17
Ingeniería Eléctrica,2012-1,,1,5,12,7,1,,26
Ingeniería Física,2012-1,,1,1,4,,,,6
Ingeniería de Sistemas y Computación,2012-1,,1,5,11,2,,,19
Ingeniería de Sistemas y Computación (Nocturno),2012-1,,,,1,1,,,2
Ingeniería Electrónica (Nocturno),2012-2,,2,5,3,12,3,,25
Ingeniería Eléctrica,2012-2,,3,9,19,4,,,35
Ingeniería Física,2012-2,,3,4,3,2,1,,13
Ingeniería de Sistemas y Computación,2012-2,,3,20,29,7,2,1,62
Ingeniería de Sistemas y Computación (Nocturno),2012-2,,,3,9,7,1,,20
Ingeniería Electrónica (Nocturno),2011-1,,,,2,1,,,3
Ingeniería Eléctrica,2011-1,,,5,3,6,,,14
Ingeniería Física,2011-1,,,1,2,4,,,7
Ingeniería de Sistemas y Computación,2011-1,,2,1,7,4,,,14
Ingeniería de Sistemas y Computación (Nocturno),2011-1,,1,,,,,,1
Ingeniería Electrónica (Nocturno),2011-2,,,2,12,7,1,,22
Ingeniería Eléctrica,2011-2,,5,10,18,10,2,,45
Ingeniería Física,2011-2,,,5,2,1,,,8
Ingeniería de Sistemas y Computación,2011-2,,4,22,31,18,5,1,81
Ingeniería de Sistemas y Computación (Nocturno),2011-2,,,7,9,8,,1,25
Ingeniería Electrónica (Nocturno),2010-1,,,1,2,,1,,4
Ingeniería Eléctrica,2010-1,,4,5,8,4,,,21
Ingeniería Física,2010-1,,,2,3,2,,,7
Ingeniería de Sistemas y Computación,2010-1,,,6,7,7,2,,22
Ingeniería Electrónica (Nocturno),2010-2,,,,2,3,,,5
Ingeniería Eléctrica,2010-2,,3,23,24,9,3,1,63
Ingeniería Física,2010-2,,1,9,5,6,1,,22
Ingeniería de Sistemas y Computación,2010-2,,2,6,25,9,2,,44
Ingeniería de Sistemas y Computación (Nocturno),2010-2,,2,,,,,,2
