Programa,Semestre,MenorA17,Edad18,Edad19,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería Eléctrica (Básicos ingeniería),2016-2,0,0,0,0,3,6,0,2,0,0,1,12
Ingeniería Física,2016-2,0,0,0,0,14,21,10,10,3,6,2,66
Ingeniería Física (Básicos ingenieria),2016-2,0,0,0,0,3,3,1,0,1,1,0,9
Ingeniería de Sistemas y Computación,2016-2,0,0,0,5,22,52,22,17,15,11,2,146
Ingeniería de Sistemas y Computación (Básicos ingeniería),2016-2,0,0,0,1,3,9,6,3,1,0,2,25
Ingeniería de Sistemas y Computación (Convenio Cuba),2016-2,0,0,0,0,5,11,8,7,3,5,0,39
Ingeniería de Sistemas y Computación (Nocturno),2016-2,0,0,0,0,9,14,18,14,7,21,23,106
Ingeniería Electrónica (Nocturno),2015-1,0,0,0,0,1,11,23,12,9,23,16,95
Ingeniería Eléctrica,2015-1,0,0,0,0,2,42,69,27,15,28,3,186
Ingeniería Física,2015-1,0,0,0,0,0,16,23,14,7,12,3,75
Ingeniería de Sistemas y Computación,2015-1,0,0,0,0,10,74,89,55,26,35,4,293
Ingeniería de Sistemas y Computación (Nocturno),2015-1,0,0,0,0,0,12,17,11,10,32,14,96
Ingeniería Electrónica (Nocturno),2015-2,0,0,0,0,0,4,12,6,5,10,4,41
Ingeniería Eléctrica,2015-2,0,0,0,0,1,13,32,14,19,30,5,114
Ingeniería de Sistemas y Computación,2015-2,0,0,0,0,4,23,43,27,27,26,3,153
Ingeniería de Sistemas y Computación (Nocturno),2015-2,0,0,0,0,0,1,12,9,6,21,12,61
Ingeniería Electrónica (Nocturno),2014-1,0,0,0,0,0,0,8,10,7,13,9,47
Ingeniería Eléctrica,2014-1,0,0,0,0,0,1,50,59,20,30,5,165
Ingeniería Física,2014-1,0,0,0,0,0,0,14,25,13,23,1,76
Ingeniería de Sistemas y Computación,2014-1,0,0,0,0,1,3,57,64,21,27,3,176
Ingeniería de Sistemas y Computación (Nocturno),2014-1,0,0,0,0,1,1,7,14,11,27,14,75
Ingeniería Electrónica (Nocturno),2014-2,0,0,0,0,0,0,3,7,9,15,6,40
Ingeniería Eléctrica,2014-2,0,0,0,0,0,1,21,29,19,42,7,119
Ingeniería de Sistemas y Computación,2014-2,0,0,0,0,0,3,28,40,27,34,4,136
Ingeniería de Sistemas y Computación (Nocturno),2014-2,0,0,0,0,0,1,3,8,8,28,13,61
Ingeniería Electrónica (Nocturno),2013-1,0,0,0,0,0,0,1,8,14,24,13,60
Ingeniería Eléctrica,2013-1,0,0,0,0,0,0,5,45,82,63,5,200
Ingeniería Física,2013-1,0,0,0,0,0,0,1,18,31,20,8,78
Ingeniería de Sistemas y Computación,2013-1,0,0,0,0,0,0,0,54,76,78,1,209
Ingeniería de Sistemas y Computación (Nocturno),2013-1,0,0,0,0,0,0,0,7,16,24,24,71
Ingeniería Electrónica (Nocturno),2013-2,0,0,0,0,0,0,0,8,9,21,11,49
Ingeniería Eléctrica,2013-2,0,0,0,0,0,0,3,21,40,48,12,124
Ingeniería de Sistemas y Computación,2013-2,0,0,0,0,0,0,2,24,39,71,8,144
Ingeniería de Sistemas y Computación (Nocturno),2013-2,0,0,0,0,0,0,0,5,9,23,13,50
Ingeniería Electrónica (Nocturno),2012-1,0,0,0,0,0,0,0,0,9,65,22,96
Ingeniería Eléctrica,2012-1,0,0,0,0,0,0,0,2,33,110,7,152
Ingeniería Física,2012-1,0,0,0,0,0,0,0,1,19,61,7,88
Ingeniería de Sistemas y Computación,2012-1,0,0,0,0,0,0,0,3,54,127,8,192
Ingeniería de Sistemas y Computación (Nocturno),2012-1,0,0,0,0,0,0,0,0,9,60,25,94
Ingeniería Electrónica (Nocturno),2012-2,0,0,0,0,0,0,0,0,5,39,16,60
Ingeniería Eléctrica,2012-2,0,0,0,0,0,0,0,3,29,77,16,125
Ingeniería de Sistemas y Computación,2012-2,0,0,0,0,0,0,1,4,29,88,17,139
Ingeniería de Sistemas y Computación (Nocturno),2012-2,0,0,0,0,0,0,0,1,4,48,25,78
Ingeniería Electrónica (Nocturno),2011-1,0,0,0,0,0,0,0,0,0,65,14,79
Ingeniería Eléctrica,2011-1,0,0,0,0,0,0,0,0,3,132,20,155
Ingeniería Física,2011-1,0,0,0,0,0,0,0,1,1,70,15,87
Ingeniería de Sistemas y Computación,2011-1,0,0,0,0,0,0,0,0,9,251,23,283
Ingeniería de Sistemas y Computación (Nocturno),2011-1,0,0,0,0,0,0,0,0,1,51,38,90
Ingeniería Electrónica (Nocturno),2011-2,0,0,0,0,0,0,0,0,0,48,13,61
Ingeniería Eléctrica,2011-2,0,0,0,0,0,0,0,0,2,116,10,128
Ingeniería de Sistemas y Computación,2011-2,0,0,0,0,0,0,0,0,5,160,23,188
Ingeniería de Sistemas y Computación (Nocturno),2011-2,0,0,0,0,0,0,0,0,0,50,35,85
Ingeniería Electrónica (Nocturno),2010-1,0,0,0,0,0,0,0,0,0,52,36,88
Ingeniería Eléctrica,2010-1,0,0,0,0,0,0,0,0,0,121,21,142
Ingeniería Física,2010-1,0,0,0,0,0,0,0,0,0,84,9,93
Ingeniería de Sistemas y Computación,2010-1,0,0,0,0,0,0,0,0,0,209,22,231
Ingeniería de Sistemas y Computación (Nocturno),2010-1,0,0,0,0,0,0,0,0,0,64,44,108
Ingeniería Electrónica (Nocturno),2010-2,0,0,0,0,0,0,0,1,0,42,26,69
Ingeniería Eléctrica,2010-2,0,0,0,0,0,0,0,0,0,82,23,105
Ingeniería de Sistemas y Computación,2010-2,0,0,0,0,0,0,0,0,0,141,32,173
Ingeniería de Sistemas y Computación (Nocturno),2010-2,0,0,0,0,0,0,0,0,0,32,36,68
