Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
BA132,EXPRESIÓN ORAL Y ESCRITA,101,82,14,5,0.81,0.14,0.05,2018-2,Ingeniería Eléctrica 
II543,ADMINISTRACIÓN DE EMPRESA,146,139,1,6,0.95,0.01,0.04,2018-2,Ingeniería Eléctrica 
IE683,SISTEMAS LINEALES,50,29,12,9,0.58,0.24,0.18,2018-2,Ingeniería Eléctrica 
IE713,TRANSFORMADORES,55,45,6,4,0.82,0.11,0.07,2018-2,Ingeniería Eléctrica 
IE524,CIRCUITOS ELECTRICOS I,73,31,33,9,0.42,0.45,0.12,2018-2,Ingeniería Eléctrica 
IE733,SISTEMA DE TRANSMISIÓN DE ENERGÍA ELÉCTRICA,58,53,3,2,0.91,0.05,0.03,2018-2,Ingeniería Eléctrica 
CB342,LABORATORIO DE FÍSICA II,59,54,1,4,0.92,0.02,0.07,2018-2,Ingeniería Eléctrica 
BA172,HUMANIDADES I,78,66,9,3,0.85,0.12,0.04,2018-2,Ingeniería Eléctrica 
CB115,MATEMÁTICAS I,12,8,4,0,0.67,0.33,0.00,2018-2,Ingeniería Eléctrica 
IE074,PROTECCIÓN DE SISTEMAS DE POTENCIA,62,57,4,1,0.92,0.06,0.02,2018-2,Ingeniería Eléctrica 
BA1E11,HABILIDADES COMUNICATIVAS (E),29,22,1,6,0.76,0.03,0.21,2018-2,Ingeniería Eléctrica 
IE763,ÁNALISIS DE SEÑALES,64,51,6,7,0.80,0.09,0.11,2018-2,Ingeniería Eléctrica 
IM423,FUNDAMENTOS DE MECÁNICA,78,50,9,19,0.64,0.12,0.24,2018-2,Ingeniería Eléctrica 
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,13,13,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
II883,SALUD OCUPACIONAL,12,8,1,3,0.67,0.08,0.25,2018-2,Ingeniería Eléctrica 
CB434,FÍSICA III,61,54,1,6,0.89,0.02,0.10,2018-2,Ingeniería Eléctrica 
CB413,MATEMÁTICAS IV,35,23,6,6,0.66,0.17,0.17,2018-2,Ingeniería Eléctrica 
CB215,MATEMÁTICAS II,50,39,7,4,0.78,0.14,0.08,2018-2,Ingeniería Eléctrica 
IE342,LEGISLACIÓN. ÉTICA Y CONTRATACIÓN,2,0,0,2,0.00,0.00,1.00,2018-2,Ingeniería Eléctrica 
BA012,CÁTEDRA DE LA PAZ UTP,10,6,0,4,0.60,0.00,0.40,2018-2,Ingeniería Eléctrica 
FIO12,MATERIA-ENERGÍA-VIDA,2,0,0,2,0.00,0.00,1.00,2018-2,Ingeniería Eléctrica 
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE863,SEMINARIO DE EGRESO ,51,51,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE051,LABORATORIO DE MEDIDAS E INSTRUMENTACIÓN ,25,25,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE033,LABORATORIO DE SISTEMAS DE POTENCIA,58,58,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE563,ELECTROMAGNETISMO  II,63,46,9,8,0.73,0.14,0.13,2018-2,Ingeniería Eléctrica 
IE322,DIBUJO PARA INGENIERÍA,60,57,0,3,0.95,0.00,0.05,2018-2,Ingeniería Eléctrica 
IE905,AUTOMATIZACIÓN INDUSTRIAL,76,69,1,6,0.91,0.01,0.08,2018-2,Ingeniería Eléctrica 
CB314,MATEMÁTICAS III,48,34,9,5,0.71,0.19,0.10,2018-2,Ingeniería Eléctrica 
IE963,MANTENIMIENTO ELÉCTRICO,89,78,2,9,0.88,0.02,0.10,2018-2,Ingeniería Eléctrica 
IE902,ESTABILIDAD DE SISTEMAS ELÉCTRICOS,77,61,6,10,0.79,0.08,0.13,2018-2,Ingeniería Eléctrica 
IE973,SISTEMAS DE DISTRIBUCIÓN DE ENERGIA ELÉCTRICA,55,52,1,2,0.95,0.02,0.04,2018-2,Ingeniería Eléctrica 
IE313,ALGORITMIA Y PROGRAMACIÓN ,59,46,8,5,0.78,0.14,0.08,2018-2,Ingeniería Eléctrica 
IE803,MEDIDAS E INSTRUMENTACIÓN ,59,55,2,2,0.93,0.03,0.03,2018-2,Ingeniería Eléctrica 
DP1E33,DEPORTE COMO HÁBITO DE VIDA SALUDABLE (E),39,34,0,5,0.87,0.00,0.13,2018-2,Ingeniería Eléctrica 
IE742,LABORATORIO DE ELECTRÓNICA ANÁLOGA Y DIGITAL,92,92,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica 
IE653,ELECTRÓNICA ANÁLOGA,67,36,4,27,0.54,0.06,0.40,2018-2,Ingeniería Eléctrica 
IE023,OPERACIÓN DE SISTEMAS ELÉCTRICOS,69,65,3,1,0.94,0.04,0.01,2018-2,Ingeniería Eléctrica 
BA1E13,FOTOGRAFÍA DIGITAL (E),36,35,0,1,0.97,0.00,0.03,2018-2,Ingeniería Eléctrica 
CB242,LABORATORIO DE FÍSICA I,50,47,2,1,0.94,0.04,0.02,2018-2,Ingeniería Eléctrica 
IE223,ENERGÍA. AMBIENTE Y DESARROLLO,63,48,10,5,0.76,0.16,0.08,2018-2,Ingeniería Eléctrica 
TQ113,FUNDAMENTOS DE QUÍMICA Y BIOLOGÍA ,33,23,10,0,0.70,0.30,0.00,2018-2,Ingeniería Eléctrica 
