Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
TQ133,QUÍMICA GENERAL,22,15,7,0,0.68,0.32,0.00,2017-1,Ingeniería Eléctrica (Básicos)
CB115,MATEMÁTICAS I,21,9,12,0,0.43,0.57,0.00,2017-1,Ingeniería Eléctrica (Básicos)
CB152,DIBUJO I,19,14,5,0,0.74,0.26,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB223,ÁLGEBRA LINEAL,19,10,9,0,0.53,0.47,0.00,2017-2,Ingeniería Eléctrica (Básicos)
BA372,HUMANIDADES II,18,17,1,0,0.94,0.06,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB234,FÍSICA I,19,18,1,0,0.95,0.05,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB215,MATEMÁTICAS II,10,5,5,0,0.50,0.50,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB242,LABORATORIO DE FÍSICA I,19,18,1,0,0.95,0.05,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB115,MATEMÁTICAS I,9,4,5,0,0.44,0.56,0.00,2017-2,Ingeniería Eléctrica (Básicos)
CB314,MATEMÁTICAS III,5,5,0,0,1.00,0.00,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB342,LABORATORIO DE FÍSICA II,18,18,0,0,1.00,0.00,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB334,FÍSICA II,18,18,0,0,1.00,0.00,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB215,MATEMÁTICAS II,13,7,6,0,0.54,0.46,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB223,ÁLGEBRA LINEAL,8,7,1,0,0.88,0.13,0.00,2018-1,Ingeniería Eléctrica (Básicos)
BA162,COMUNICACIÓN ORAL Y ESCRITA,8,8,0,0,1.00,0.00,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB323,PROGRAMACIÓN DE COMPUTADORES,18,18,0,0,1.00,0.00,0.00,2018-1,Ingeniería Eléctrica (Básicos)
CB314,MATEMÁTICAS III,5,5,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica (Básicos)
BA162,COMUNICACIÓN ORAL Y ESCRITA,10,10,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica (Básicos)
CB442,LABORATORIO DE FÍSICA III,16,15,1,0,0.94,0.06,0.00,2018-2,Ingeniería Eléctrica (Básicos)
CB253,DIBUJO II,14,14,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica (Básicos)
CB434,FÍSICA III,18,14,4,0,0.78,0.22,0.00,2018-2,Ingeniería Eléctrica (Básicos)
IM303,MECÁNICA I,18,11,7,0,0.61,0.39,0.00,2018-2,Ingeniería Eléctrica (Básicos)
IS284,PROGRAMACIÓN II,8,6,2,0,0.75,0.25,0.00,2018-2,Ingeniería Eléctrica (Básicos)
CB413,MATEMÁTICAS IV,13,7,6,0,0.54,0.46,0.00,2018-2,Ingeniería Eléctrica (Básicos)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,16,16,0,0,1.00,0.00,0.00,2018-2,Ingeniería Eléctrica (Básicos)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,16,5,11,0,0.31,0.69,0.00,2016-2,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,3,2,1,0,0.67,0.33,0.00,2016-2,Ingeniería Electrónica (Diurna)
CB242,LABORATORIO DE FÍSICA I,1,0,0,1,0.00,0.00,1.00,2016-2,Ingeniería Electrónica (Diurna)
TQ133,QUÍMICA GENERAL,8,5,1,2,0.63,0.13,0.25,2016-2,Ingeniería Electrónica (Diurna)
BA372,HUMANIDADES II,1,1,0,0,1.00,0.00,0.00,2016-2,Ingeniería Electrónica (Diurna)
EE253,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,21,17,4,0,0.81,0.19,0.00,2016-2,Ingeniería Electrónica (Diurna)
CB115,MATEMÁTICAS I,5,3,1,1,0.60,0.20,0.20,2016-2,Ingeniería Electrónica (Diurna)
EE493,CIRCUITO II,1,0,0,1,0.00,0.00,1.00,2016-2,Ingeniería Electrónica (Diurna)
EE403,ELECTRÓNICA ANÁLOGA I,1,0,0,1,0.00,0.00,1.00,2016-2,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,1,0,0,1,0.00,0.00,1.00,2016-2,Ingeniería Electrónica (Diurna)
BA172,HUMANIDADES I,5,5,0,0,1.00,0.00,0.00,2016-2,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,22,18,2,2,0.82,0.09,0.09,2017-1,Ingeniería Electrónica (Diurna)
CB434,FÍSICA III,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
EE713,FISICA DEL ESTADO SOLIDO,1,0,0,1,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
BA172,HUMANIDADES I,14,14,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,4,2,2,0,0.50,0.50,0.00,2017-1,Ingeniería Electrónica (Diurna)
CB242,LABORATORIO DE FÍSICA I,4,4,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
CB423,MÉTODOS NUMÉRICOS,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
EE253,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,50,40,8,2,0.80,0.16,0.04,2017-1,Ingeniería Electrónica (Diurna)
EE523,CAMPOS I,1,0,0,1,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
CB442,LABORATORIO DE FÍSICA III,2,1,0,1,0.50,0.00,0.50,2017-1,Ingeniería Electrónica (Diurna)
CB234,FÍSICA I,3,3,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
CB215,MATEMÁTICAS II,3,3,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
EE693,ELECTRÓNICA ANÁLOGA III,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,10,10,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,1,0,1,0,0.00,1.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
CB223,ÁLGEBRA LINEAL,3,3,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
BU101,DEPORTES I,2,0,0,2,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,1,0,0,1,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
EE7B3,SISTEMAS DIGITALES III,1,0,0,1,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
TQ133,QUÍMICA GENERAL,37,32,3,2,0.86,0.08,0.05,2017-1,Ingeniería Electrónica (Diurna)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,35,23,12,0,0.66,0.34,0.00,2017-1,Ingeniería Electrónica (Diurna)
IM513,MATEMÁTICAS ESPECIALES,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
BA372,HUMANIDADES II,5,4,0,1,0.80,0.00,0.20,2017-1,Ingeniería Electrónica (Diurna)
EE493,CIRCUITO II,1,1,0,0,1.00,0.00,0.00,2017-1,Ingeniería Electrónica (Diurna)
EE661,LABORATORIO DE ELECTRÓNICA ANÁLOGA III,1,0,0,1,0.00,0.00,1.00,2017-1,Ingeniería Electrónica (Diurna)
CB115,MATEMÁTICAS I,21,12,9,0,0.57,0.43,0.00,2017-1,Ingeniería Electrónica (Diurna)
BA372,HUMANIDADES II,14,13,1,0,0.93,0.07,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB223,ÁLGEBRA LINEAL,24,17,2,5,0.71,0.08,0.21,2017-2,Ingeniería Electrónica (Diurna)
TQ133,QUÍMICA GENERAL,38,24,12,2,0.63,0.32,0.05,2017-2,Ingeniería Electrónica (Diurna)
EE481,LABORATORIO DE ELECTRÓNICA ANÁLOGA I,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE671,LABORATORIO DE SISTEMAS DIGITALES II,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE364,CIRCUITOS I,3,3,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB115,MATEMÁTICAS I,12,9,3,0,0.75,0.25,0.00,2017-2,Ingeniería Electrónica (Diurna)
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB334,FÍSICA II,3,2,1,0,0.67,0.33,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,18,8,7,3,0.44,0.39,0.17,2017-2,Ingeniería Electrónica (Diurna)
EE373,PROGRAMACIÓN I,3,3,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE661,LABORATORIO DE ELECTRÓNICA ANÁLOGA III,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB342,LABORATORIO DE FÍSICA II,3,3,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB215,MATEMÁTICAS II,25,16,3,6,0.64,0.12,0.24,2017-2,Ingeniería Electrónica (Diurna)
CB234,FÍSICA I,26,26,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
BA172,HUMANIDADES I,43,38,3,2,0.88,0.07,0.05,2017-2,Ingeniería Electrónica (Diurna)
CB242,LABORATORIO DE FÍSICA I,27,27,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE603,SISTEMAS DIGITALES II,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE913,ECONOMIA,1,0,1,0,0.00,1.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,3,3,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,30,25,3,2,0.83,0.10,0.07,2017-2,Ingeniería Electrónica (Diurna)
CB314,MATEMÁTICAS III,3,1,0,2,0.33,0.00,0.67,2017-2,Ingeniería Electrónica (Diurna)
EE781,LABORATORIO DE CONTROL I,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE403,ELECTRÓNICA ANÁLOGA I,1,0,1,0,0.00,1.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,27,21,2,4,0.78,0.07,0.15,2017-2,Ingeniería Electrónica (Diurna)
EE253,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,27,21,5,1,0.78,0.19,0.04,2017-2,Ingeniería Electrónica (Diurna)
EE6B3,ESTADÍSTICA,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE523,CAMPOS I,1,0,1,0,0.00,1.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE7A3,CONTROL I,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,13,9,4,0,0.69,0.31,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE933,COMUNICACIÓN ORAL Y ESCRITA,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
EE713,FISICA DEL ESTADO SOLIDO,1,1,0,0,1.00,0.00,0.00,2017-2,Ingeniería Electrónica (Diurna)
BA372,HUMANIDADES II,22,14,3,5,0.64,0.14,0.23,2018-1,Ingeniería Electrónica (Diurna)
EE463,PROGRAMACIÓN II,4,2,1,1,0.50,0.25,0.25,2018-1,Ingeniería Electrónica (Diurna)
IM513,MATEMÁTICAS ESPECIALES,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE791,LABORATORIO  DE SISTEMAS DIGITALES III,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB434,FÍSICA III,2,2,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE703,COMUNICACIONES I,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
TQ133,QUÍMICA GENERAL,64,41,23,0,0.64,0.36,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,9,4,5,0,0.44,0.56,0.00,2018-1,Ingeniería Electrónica (Diurna)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,18,17,1,0,0.94,0.06,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB334,FÍSICA II,22,20,2,0,0.91,0.09,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE253,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,59,52,7,0,0.88,0.12,0.00,2018-1,Ingeniería Electrónica (Diurna)
BUA8,GIMNASIO,2,0,0,2,0.00,0.00,1.00,2018-1,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,14,14,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB423,MÉTODOS NUMÉRICOS,4,4,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB314,MATEMÁTICAS III,12,8,4,0,0.67,0.33,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE7B3,SISTEMAS DIGITALES III,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB115,MATEMÁTICAS I,7,4,2,1,0.57,0.29,0.14,2018-1,Ingeniería Electrónica (Diurna)
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE373,PROGRAMACIÓN I,18,17,0,1,0.94,0.00,0.06,2018-1,Ingeniería Electrónica (Diurna)
CB242,LABORATORIO DE FÍSICA I,21,20,1,0,0.95,0.05,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE364,CIRCUITOS I,13,11,1,1,0.85,0.08,0.08,2018-1,Ingeniería Electrónica (Diurna)
EE493,CIRCUITO II,4,1,1,2,0.25,0.25,0.50,2018-1,Ingeniería Electrónica (Diurna)
UV372,HUMANIDADES II,2,1,1,0,0.50,0.50,0.00,2018-1,Ingeniería Electrónica (Diurna)
UVBA1,CONSTITUCIÓN POLÍTICA (SEMIPRESENCIAL),5,5,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB342,LABORATORIO DE FÍSICA II,20,19,1,0,0.95,0.05,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB215,MATEMÁTICAS II,25,17,4,4,0.68,0.16,0.16,2018-1,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,27,19,7,1,0.70,0.26,0.04,2018-1,Ingeniería Electrónica (Diurna)
CB223,ÁLGEBRA LINEAL,20,12,5,3,0.60,0.25,0.15,2018-1,Ingeniería Electrónica (Diurna)
EE471,LABORATORIO DE CIRCUITOS II,4,3,0,1,0.75,0.00,0.25,2018-1,Ingeniería Electrónica (Diurna)
EE771,LABORATORIO DE COMUNICACIONES I,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE871,LABORATORIO DE CONTROL II,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE713,FISICA DEL ESTADO SOLIDO,1,1,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
EE933,COMUNICACIÓN ORAL Y ESCRITA,3,3,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,52,29,22,1,0.56,0.42,0.02,2018-1,Ingeniería Electrónica (Diurna)
CB413,MATEMÁTICAS IV,2,2,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
BA172,HUMANIDADES I,53,48,5,0,0.91,0.09,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB234,FÍSICA I,21,18,3,0,0.86,0.14,0.00,2018-1,Ingeniería Electrónica (Diurna)
CB442,LABORATORIO DE FÍSICA III,3,3,0,0,1.00,0.00,0.00,2018-1,Ingeniería Electrónica (Diurna)
BU101,DEPORTES I,1,0,0,1,0.00,0.00,1.00,2018-1,Ingeniería Electrónica (Diurna)
BUA6,TENIS DE MESA,1,0,0,1,0.00,0.00,1.00,2018-1,Ingeniería Electrónica (Diurna)
UVBA1,CONSTITUCIÓN POLÍTICA (SEMIPRESENCIAL),7,7,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE593,ELECTRÓNICA ANÁLOGA II,2,2,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB342,LABORATORIO DE FÍSICA II,14,13,0,1,0.93,0.00,0.07,2018-2,Ingeniería Electrónica (Diurna)
CB334,FÍSICA II,15,14,1,0,0.93,0.07,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE493,CIRCUITO II,14,7,4,3,0.50,0.29,0.21,2018-2,Ingeniería Electrónica (Diurna)
EE913,ECONOMIA,2,1,0,1,0.50,0.00,0.50,2018-2,Ingeniería Electrónica (Diurna)
EE403,ELECTRÓNICA ANÁLOGA I,4,4,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
BA372,HUMANIDADES II,27,21,3,3,0.78,0.11,0.11,2018-2,Ingeniería Electrónica (Diurna)
EE803,COMUNICACIONES II,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,38,32,5,1,0.84,0.13,0.03,2018-2,Ingeniería Electrónica (Diurna)
CB423,MÉTODOS NUMÉRICOS,15,7,2,6,0.47,0.13,0.40,2018-2,Ingeniería Electrónica (Diurna)
CB113,MATEMÁTICAS I ARTICULACION ASIGNATURA DOS,15,13,2,0,0.87,0.13,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,24,17,7,0,0.71,0.29,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB115,MATEMÁTICAS I,4,3,1,0,0.75,0.25,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB215,MATEMÁTICAS II,25,13,11,1,0.52,0.44,0.04,2018-2,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,30,21,5,4,0.70,0.17,0.13,2018-2,Ingeniería Electrónica (Diurna)
EE373,PROGRAMACIÓN I,14,14,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
BA172,HUMANIDADES I,22,13,7,2,0.59,0.32,0.09,2018-2,Ingeniería Electrónica (Diurna)
EE861,LABORATORIO DE COMUNICACIONES II,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
UV372,HUMANIDADES II,3,2,1,0,0.67,0.33,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE571,LABORATORIO DE ELECTRÓNICA ANÁLOGA II,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB442,LABORATORIO DE FÍSICA III,12,12,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,16,14,0,2,0.88,0.00,0.13,2018-2,Ingeniería Electrónica (Diurna)
CB223,ÁLGEBRA LINEAL,29,21,5,3,0.72,0.17,0.10,2018-2,Ingeniería Electrónica (Diurna)
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB413,MATEMÁTICAS IV,10,8,1,1,0.80,0.10,0.10,2018-2,Ingeniería Electrónica (Diurna)
EE481,LABORATORIO DE ELECTRÓNICA ANÁLOGA I,3,3,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE671,LABORATORIO DE SISTEMAS DIGITALES II,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE8A3,CONTROL II,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE8C3,SISTEMAS DIGITALES IV,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
CB434,FÍSICA III,13,13,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE471,LABORATORIO DE CIRCUITOS II,12,9,1,2,0.75,0.08,0.17,2018-2,Ingeniería Electrónica (Diurna)
CB314,MATEMÁTICAS III,18,15,0,3,0.83,0.00,0.17,2018-2,Ingeniería Electrónica (Diurna)
TQ133,QUÍMICA GENERAL,26,10,16,0,0.38,0.62,0.00,2018-2,Ingeniería Electrónica (Diurna)
BUB3,RACQUETBALL,1,0,0,1,0.00,0.00,1.00,2018-2,Ingeniería Electrónica (Diurna)
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,3,3,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE6B3,ESTADÍSTICA,5,5,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE933,COMUNICACIÓN ORAL Y ESCRITA,4,3,1,0,0.75,0.25,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE713,FISICA DEL ESTADO SOLIDO,3,3,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE463,PROGRAMACIÓN II,15,14,1,0,0.93,0.07,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE503,SISTEMAS DIGITALES I,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE523,CAMPOS I,2,2,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
BUA6,TENIS DE MESA,1,0,0,1,0.00,0.00,1.00,2018-2,Ingeniería Electrónica (Diurna)
IM513,MATEMÁTICAS ESPECIALES,3,2,0,1,0.67,0.00,0.33,2018-2,Ingeniería Electrónica (Diurna)
CB234,FÍSICA I,28,24,4,0,0.86,0.14,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE364,CIRCUITOS I,17,13,2,2,0.76,0.12,0.12,2018-2,Ingeniería Electrónica (Diurna)
CB242,LABORATORIO DE FÍSICA I,22,21,0,1,0.95,0.00,0.05,2018-2,Ingeniería Electrónica (Diurna)
EE253,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,21,14,6,1,0.67,0.29,0.05,2018-2,Ingeniería Electrónica (Diurna)
II4D3,ESTADÍSTICA I,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
EE891,LABORATORIO DE SISTEMAS DIGITALES IV,1,1,0,0,1.00,0.00,0.00,2018-2,Ingeniería Electrónica (Diurna)
UV372,HUMANIDADES II,9,9,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE463,PROGRAMACIÓN II,14,14,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
CB434,FÍSICA III,16,16,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
CB234,FÍSICA I,25,20,3,2,0.80,0.12,0.08,2019-1,Ingeniería Electrónica (Diurna)
EE593,ELECTRÓNICA ANÁLOGA II,3,3,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE7C3,TEORIA DE SEÑALES,5,4,1,0,0.80,0.20,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE373,PROGRAMACIÓN I,20,12,4,4,0.60,0.20,0.20,2019-1,Ingeniería Electrónica (Diurna)
EE693,ELECTRÓNICA ANÁLOGA III,1,0,1,0,0.00,1.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE7B3,SISTEMAS DIGITALES III,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE771,LABORATORIO DE COMUNICACIONES I,1,0,0,1,0.00,0.00,1.00,2019-1,Ingeniería Electrónica (Diurna)
UV172,HUMANIDADES I,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
CB442,LABORATORIO DE FÍSICA III,17,14,0,3,0.82,0.00,0.18,2019-1,Ingeniería Electrónica (Diurna)
EE351,LABORATORIO DE CIRCUITO I,21,17,2,2,0.81,0.10,0.10,2019-1,Ingeniería Electrónica (Diurna)
CB342,LABORATORIO DE FÍSICA II,19,18,1,0,0.95,0.05,0.00,2019-1,Ingeniería Electrónica (Diurna)
BU101,DEPORTES I,3,0,0,3,0.00,0.00,1.00,2019-1,Ingeniería Electrónica (Diurna)
AA2A2,BIOLOGÍA PARA INGENIERÍA,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE043,AUTOMATIZACIÓN INDUSTRIAL,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
BUB3,RACQUETBALL,2,0,0,2,0.00,0.00,1.00,2019-1,Ingeniería Electrónica (Diurna)
EE471,LABORATORIO DE CIRCUITOS II,17,17,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE6A3,CONVERSIÓN DE ENERGÍA,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE933,COMUNICACIÓN ORAL Y ESCRITA,27,8,1,18,0.30,0.04,0.67,2019-1,Ingeniería Electrónica (Diurna)
EE493,CIRCUITO II,14,4,7,3,0.29,0.50,0.21,2019-1,Ingeniería Electrónica (Diurna)
BA122,METODOLOGÍA DE LA INVESTIGACIÓN,14,10,1,3,0.71,0.07,0.21,2019-1,Ingeniería Electrónica (Diurna)
CB112,MATEMÁTICAS I ARTICULACIÓN PRIMER ASIGNATURA,39,17,22,0,0.44,0.56,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE481,LABORATORIO DE ELECTRÓNICA ANÁLOGA I,11,11,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
II123,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE923,SISTEMAS OPERATIVOS,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
EE6B3,ESTADÍSTICA,13,8,1,4,0.62,0.08,0.31,2019-1,Ingeniería Electrónica (Diurna)
BA162,COMUNICACIÓN ORAL Y ESCRITA,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Electrónica (Diurna)
II3C3,ECONOMÍA,1,0,0,1,0.00,0.00,1.00,2019-1,Ingeniería Electrónica (Diurna)
CB152,DIBUJO I,46,31,5,10,0.67,0.11,0.22,2019-1,Ingeniería Electrónica (Diurna)
EE871,LABORATORIO DE CONTROL II,13,0,0,13,0.00,0.00,1.00,2019-1,Ingeniería Electrónica (Diurna)
EE713,FISICA DEL ESTADO SOLIDO,10,9,0,1,0.90,0.00,0.10,2019-1,Ingeniería Electrónica (Diurna)
