ProgramaAcademico,Graduados,PromedioPeriodosMatriculados,DuracionPrograma,Brecha,Año
Ingeniería Eléctrica,43,15.05,10.0,05.05,2014
Ingeniería Física,24,13.88,10.0,3.88,2014
Ingeniería de Sistemas y Computación,58,13.76,10.0,3.76,2014
Ingeniería de Sistemas y Computación (Nocturno),32,12.94,12.0,0.94,2014
Ingeniería Electrónica (Diurna),,,,,2013
Ingeniería Electrónica (Nocturno),29,13.10,10.0,3.10,2013
Ingeniería Eléctrica,57,14.33,10.0,4.33,2013
Ingeniería Física,15,13.13,10.0,3.13,2013
Ingeniería de Sistemas y Computación,76,13.57,10.0,3.57,2013
Ingeniería de Sistemas y Computación (Nocturno),20,12.15,12.0,0.15,2013
Ingeniería Electrónica (Diurna),,,,,2012
Ingeniería Electrónica (Nocturno),42,13.57,10.0,3.57,2012
Ingeniería Eléctrica,61,13.21,10.0,3.21,2012
Ingeniería Física,19,13.05,10.0,03.05,2012
Ingeniería de Sistemas y Computación,81,13.20,10.0,3.20,2012
Ingeniería de Sistemas y Computación (Nocturno),22,12.64,12.0,0.64,2012
Ingeniería Electrónica (Diurna),,,,,2011
Ingeniería Electrónica (Nocturno),25,13.68,10.0,3.68,2011
Ingeniería Eléctrica,59,14.42,10.0,4.42,2011
Ingeniería Física,15,12.73,10.0,2.73,2011
Ingeniería de Sistemas y Computación,96,14.33,10.0,4.33,2011
Ingeniería de Sistemas y Computación (Nocturno),26,13.88,12.0,1.88,2011
Ingeniería Electrónica (Diurna),,,,,2010
Ingeniería Electrónica (Nocturno),9,12.89,10.0,2.89,2010
Ingeniería Eléctrica,84,14.55,10.0,4.55,2010
Ingeniería Física,29,12.66,10.0,2.66,2010
Ingeniería de Sistemas y Computación,66,14.23,10.0,4.23,2010
Ingeniería de Sistemas y Computación (Nocturno),2,14.00,12.0,2.00,2010
